"PC Name","No","Type","State","Winning Candidate","Party","Electors","Votes","Turnout","Margin","Margin %"
Hamirpur,3,GEN,Himachal Pradesh,Anurag Singh Thakur,Bharatiya Janta Party,1247699,835205,66.9 %,98403,11.8%
Hamirpur,47,GEN,Uttar Pradesh [2000 Onwards],Kunwar Pushpendra Singh Chandel,Bharatiya Janta Party,1737993,975240,56.1 %,266788,27.4%
Hardoi,31,SC,Uttar Pradesh [2000 Onwards],Anshul Verma,Bharatiya Janta Party,1714387,972894,56.8 %,81343,8.4%
Hardwar,5,GEN,Uttarakhand,Ramesh Pokhriyal Nishank,Bharatiya Janta Party,1642873,1175692,71.6 %,177822,15.1%
Hassan,16,GEN,Karnataka,H.D. Devegowda,Janata Dal (Secular),1561336,1147172,73.5 %,100462,8.8%
Hathras,16,SC,Uttar Pradesh [2000 Onwards],Rajesh Kumar Diwaker,Bharatiya Janta Party,1758927,1049273,59.7 %,326386,31.1%
Hatkanangle,48,GEN,Maharashtra,Raju Shetty,Swabhimani Paksha,1630598,1188871,72.9 %,177810,15.0%
Haveri,10,GEN,Karnataka,Udasi Shivakumar Channabasappa,Bharatiya Janta Party,1558749,1115968,71.6 %,87571,7.8%
Hazaribagh,14,GEN,Jharkhand,Jayant Sinha,Bharatiya Janta Party,1518831,967152,63.7 %,159128,16.5%
Hindupur,37,GEN,Andhra Pradesh [2014 Onwards],Kristappa Nimmala,Telugu Desam,1446503,1177257,81.4 %,97325,8.3%
Hingoli,15,GEN,Maharashtra,Rajeev Shankarrao Satav,Indian National Congress,1586194,1051164,66.3 %,1632,0.2%
Hisar,4,GEN,Haryana,Dushyant Chautala,Indian National Lok Dal,1517606,1155914,76.2 %,31847,2.8%
Hooghly,28,GEN,West Bengal,Dr. Ratna De (NAG),All India Trinamool Congress,1630042,1348870,82.8 %,189084,14.0%
Hoshangabad,17,GEN,Madhya Pradesh [2000 Onwards],Uday Pratap Singh,Bharatiya Janta Party,1568127,1031175,65.8 %,389960,37.8%
Hoshiarpur,5,SC,Punjab,Vijay Sampla,Bharatiya Janta Party,1485286,961297,64.7 %,13582,1.4%
Howrah,25,GEN,West Bengal,Prasun Banerjee,All India Trinamool Congress,1505099,1125399,74.8 %,196956,17.5%
Hyderabad,9,GEN,Telangana,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimoon,1823664,971421,53.3 %,202454,20.8%
Idukki,13,GEN,Kerala,Adv.Joice George,Independent,1158735,819766,70.8 %,50542,6.2%
Indore,26,GEN,Madhya Pradesh [2000 Onwards],Sumitra Mahajan (TAI),Bharatiya Janta Party,2115303,1316817,62.3 %,466901,35.5%
Inner Manipur,1,GEN,Manipur,Dr. Thokchom Meinya,Indian National Congress,855359,640871,74.9 %,94674,14.8%
Jabalpur,13,GEN,Madhya Pradesh [2000 Onwards],Rakesh Singh,Bharatiya Janta Party,1711683,1002184,58.6 %,208639,20.8%
Jadavpur,22,GEN,West Bengal,Sugata Bose,All India Trinamool Congress,1595746,1272362,79.7 %,125203,9.8%
Jagatsinghpur,16,SC,Orissa,Kulamani Samal,Biju Janata Dal,1499673,1131932,75.5 %,276394,24.4%
Jahanabad,36,GEN,Bihar [2000 Onwards],Dr. Arun Kumar,Rashtriya Lok Samta Party,1423246,811516,57.0 %,42340,5.2%
Jaipur,7,GEN,Rajasthan,Ramcharan Bohara,Bharatiya Janta Party,1957818,1296806,66.2 %,539345,41.6%
Jaipur Rural,6,GEN,Rajasthan,Rajyavardhan Singh Rathore,Bharatiya Janta Party,1699462,1013691,59.7 %,332896,32.8%
Jajpur,8,SC,Orissa,Rita Tarai,Biju Janata Dal,1303733,980435,75.2 %,320271,32.7%
Jalandhar,4,SC,Punjab,Santokh Singh Chaudhary,Indian National Congress,1551497,1040762,67.1 %,70981,6.8%
Jalaun,45,SC,Uttar Pradesh [2000 Onwards],Bhanu Pratap Singh Verma,Bharatiya Janta Party,1903332,1109166,58.3 %,287202,25.9%
Jalgaon,3,GEN,Maharashtra,A.T. Nana Patil,Bharatiya Janta Party,1707933,990332,58.0 %,383525,38.7%
Jalna,18,GEN,Maharashtra,Danve Raosaheb Dadarao,Bharatiya Janta Party,1612054,1066259,66.1 %,206798,19.4%
Jalore,18,GEN,Rajasthan,Devji Patel,Bharatiya Janta Party,1824968,1087272,59.6 %,381145,35.1%
Jalpaiguri,3,SC,West Bengal,Bijoy Chandra Barman,All India Trinamool Congress,1531469,1302117,85.0 %,69606,5.3%
Jammu,6,GEN,Jammu & Kashmir,Jugal Kishore,Bharatiya Janta Party,1848155,1253593,67.8 %,257280,20.5%
Jamnagar,12,GEN,Gujarat,Poonamben Hematbhai Maadam,Bharatiya Janta Party,1470952,852643,58.0 %,175289,20.6%
Jamshedpur,9,GEN,Jharkhand,Bidyut Baran Mahato,Bharatiya Janta Party,1581665,1049140,66.3 %,99876,9.5%
Jamui,40,SC,Bihar [2000 Onwards],Chirag Kumar Paswan,Lok Jan Shakti Party,1550936,775639,50.0 %,85947,11.1%
Jangipur,9,GEN,West Bengal,Abhijit Mukherjee,Indian National Congress,1391656,1119084,80.4 %,8161,0.7%
Janjgir-Champa,3,SC,Chhattisgarh,Kamla Patle,Bharatiya Janta Party,1737532,1073347,61.8 %,174961,16.3%
Jaunpur,73,GEN,Uttar Pradesh [2000 Onwards],Krishna Pratap 'k.P.',Bharatiya Janta Party,1848842,1007143,54.5 %,146310,14.5%
Jhalawar-Baran,25,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,1669842,1146364,68.7 %,281546,24.6%
Jhanjharpur,7,GEN,Bihar [2000 Onwards],Birendra Kumar Chaudhary,Bharatiya Janta Party,1650753,941249,57.0 %,55408,5.9%
Jhansi,46,GEN,Uttar Pradesh [2000 Onwards],Uma Bharati,Bharatiya Janta Party,1932015,1320804,68.4 %,190467,14.4%
Jhargram,33,ST,West Bengal,Uma Saren,All India Trinamool Congress,1475112,1257613,85.3 %,347883,27.7%
Jhunjhunu,4,GEN,Rajasthan,Santosh Ahlawat,Bharatiya Janta Party,1696788,1006465,59.3 %,233835,23.2%
Jodhpur,16,GEN,Rajasthan,Gajendrasingh Shekhawat,Bharatiya Janta Party,1727363,1078598,62.4 %,410051,38.0%
Jorhat,12,GEN,Assam,Kamakhya Prasad Tasa,Bharatiya Janta Party,1234448,931336,75.5 %,102420,11.0%
Joynagar,19,SC,West Bengal,Pratima Mondal,All India Trinamool Congress,1458724,1186052,81.3 %,108384,9.1%
Junagadh,13,GEN,Gujarat,Chudasama Rajeshbhai Naranbhai,Bharatiya Janta Party,1485543,941378,63.4 %,135832,14.4%
Kachchh,1,SC,Gujarat,Chavda Vinod Lakhamashi,Bharatiya Janta Party,1533782,946240,61.7 %,254482,26.9%
Kadapa,38,GEN,Andhra Pradesh [2014 Onwards],Y.S. Avinash Reddy,Yuvajana Sramika Rythu Congress Party,1550579,1200662,77.4 %,190323,15.9%
Kairana,2,GEN,Uttar Pradesh [2000 Onwards],Hukum Singh,Bharatiya Janta Party,1531755,1119324,73.1 %,236828,21.2%
Kaiserganj,57,GEN,Uttar Pradesh [2000 Onwards],Brij Bhusan Sharan Singh,Bharatiya Janta Party,1711967,943357,55.1 %,78218,8.3%
Kakinada,23,GEN,Andhra Pradesh [2014 Onwards],Thota Narasimham,Telugu Desam,1418290,1099999,77.6 %,3431,0.3%
Kalahandi,11,GEN,Orissa,Arka Keshari Deo,Biju Janata Dal,1474135,1117536,75.8 %,56347,5.0%
Kaliabor,11,GEN,Assam,Gourav Gogoi,Indian National Congress,1457865,1166490,80.0 %,93874,8.0%
Kallakurichi,14,GEN,Tamil Nadu,Kamaraj. K,All India Anna Dravida Munnetra Kazhagam,1412499,1107241,78.4 %,223507,20.2%
Kalyan,24,GEN,Maharashtra,Dr.Shrikant Eknath Shinde,Shiv Sena,1922046,824196,42.9 %,250749,30.4%
Kancheepuram,6,SC,Tamil Nadu,Maragatham K,All India Anna Dravida Munnetra Kazhagam,1480123,1128399,76.2 %,146866,13.0%
Kandhamal,13,GEN,Orissa,Hemendra Chandra Singh,Biju Janata Dal,1143602,839415,73.4 %,181017,21.6%
Kangra,1,GEN,Himachal Pradesh,Shanta Kumar,Bharatiya Janta Party,1258601,799445,63.5 %,170072,21.3%
Kanker,11,ST,Chhattisgarh,Vikram Dev Usendi,Bharatiya Janta Party,1447774,1016943,70.2 %,35158,3.5%
Kannauj,42,GEN,Uttar Pradesh [2000 Onwards],Dimple Yadav,Samajwadi Party,1808889,1114460,61.6 %,19907,1.8%
Kanniyakumari,39,GEN,Tamil Nadu,Radhakrishnan P.,Bharatiya Janta Party,1467796,990742,67.5 %,128662,13.0%
Kannur,2,GEN,Kerala,P K Sreemathi Teacher,Communist Party Of India (MARXIST),1170266,947117,80.9 %,6566,0.7%
Kanpur,43,GEN,Uttar Pradesh [2000 Onwards],Dr.Murli Manohar Joshi,Bharatiya Janta Party,1611248,835079,51.8 %,222946,26.7%
Kanthi,31,GEN,West Bengal,Adhikari Sisir Kumar,All India Trinamool Congress,1490409,1290811,86.6 %,229490,17.8%
Karakat,35,GEN,Bihar [2000 Onwards],Upendra Kushwaha,Rashtriya Lok Samta Party,1569989,789927,50.3 %,105241,13.3%
Karauli-Dholpur,10,SC,Rajasthan,Manoj Rajoria,Bharatiya Janta Party,1549662,845941,54.6 %,27216,3.2%
Karimganj,1,SC,Assam,Radheshyam Biswas,All India United Democratic Front,1165997,886920,76.1 %,102094,11.5%
Karimnagar,3,GEN,Telangana,Vinod Kumar Boinapally,Telangana Rashtra Samithi,1550834,1125691,72.6 %,205077,18.2%
Karnal,5,GEN,Haryana,Ashwini Kumar,Bharatiya Janta Party,1684321,1193500,70.9 %,360147,30.2%
Karur,23,GEN,Tamil Nadu,Thambiduraim.,All India Anna Dravida Munnetra Kazhagam,1298322,1046534,80.6 %,195247,18.7%
Kasaragod,1,GEN,Kerala,P Karunakaran,Communist Party Of India (MARXIST),1243730,974215,78.3 %,6921,0.7%
Katihar,11,GEN,Bihar [2000 Onwards],Tariq Anwar,Nationalist Congress Party,1446478,977830,67.6 %,114740,11.7%
Kaushambi,50,SC,Uttar Pradesh [2000 Onwards],Vinod Kumar Sonkar,Bharatiya Janta Party,1738994,910038,52.3 %,42847,4.7%
Kendrapara,15,GEN,Orissa,Baijayant Panda,Biju Janata Dal,1555444,1140999,73.4 %,209108,18.3%
Keonjhar,4,ST,Orissa,Sakuntala Laguri,Biju Janata Dal,1346683,1083869,80.5 %,157317,14.5%
Khadoor Sahib,3,GEN,Punjab,Ranjit Singh Brahmpura,Shiromani Akali Dal,1563256,1040518,66.6 %,100569,9.7%
Khagaria,25,GEN,Bihar [2000 Onwards],Choudhary Mahboob Ali Kaiser,Lok Jan Shakti Party,1492068,896231,60.1 %,76003,8.5%
Khajuraho,8,GEN,Madhya Pradesh [2000 Onwards],Nagendra Singh,Bharatiya Janta Party,1702794,874477,51.4 %,247490,28.3%
Khammam,17,GEN,Telangana,Ponguleti Srinivasa Reddy,Yuvajana Sramika Rythu Congress Party,1440289,1182897,82.1 %,11974,1.0%
Khandwa,28,GEN,Madhya Pradesh [2000 Onwards],Nandkumar Singh Chouhan (NANDU BHAIYA),Bharatiya Janta Party,1759410,1257327,71.5 %,259714,20.7%
Khargone,27,ST,Madhya Pradesh [2000 Onwards],Subhash Patel,Bharatiya Janta Party,1703271,1152525,67.7 %,257879,22.4%
Kheda,17,GEN,Gujarat,Chauhan Devusinh Jesingbhai (CHAUHAN DEVUSINH),Bharatiya Janta Party,1599476,955906,59.8 %,232901,24.4%
Kheri,28,GEN,Uttar Pradesh [2000 Onwards],Ajay Kumar,Bharatiya Janta Party,1679466,1077868,64.2 %,110274,10.2%
Khunti,11,ST,Jharkhand,Karia Munda,Bharatiya Janta Party,1111852,736955,66.3 %,92248,12.5%
Kishanganj,10,GEN,Bihar [2000 Onwards],Mohammad Asrarul Haque,Indian National Congress,1438990,928490,64.5 %,194612,21.0%
Kodarma,5,GEN,Jharkhand,Ravindra Kr. Ray,Bharatiya Janta Party,1639629,1024906,62.5 %,98654,9.6%
Kokrajhar,5,ST,Assam,Naba Kumar Sarania (HIRA),Independent,1505476,1223869,81.3 %,355779,29.1%
Kolar,28,SC,Karnataka,K.H.Muniyappa,Indian National Congress,1492975,1127323,75.5 %,47850,4.2%
Kolhapur,47,GEN,Maharashtra,Dhananjay Bhimrao Mahadik,Nationalist Congress Party,1758300,1260289,71.7 %,33259,2.6%
Kolkata Dakshin,23,GEN,West Bengal,Subrata Bakshi,All India Trinamool Congress,1685296,1167979,69.3 %,136339,11.7%
Kolkata Uttar,24,GEN,West Bengal,Sudip Bandyopadhyay,All India Trinamool Congress,1433985,955778,66.7 %,96226,10.1%
Kollam,18,GEN,Kerala,N.K.Premachandran,Revolutionary Socialist Party,1219415,879056,72.1 %,37649,4.3%
Koppal,8,GEN,Karnataka,Karadi Sanganna Amarappa,Bharatiya Janta Party,1535105,1006508,65.6 %,32414,3.2%
Koraput,21,ST,Orissa,Jhina Hikaka,Biju Janata Dal,1300437,989444,76.1 %,19328,2.0%
Korba,4,GEN,Chhattisgarh,Dr. Banshilal Mahto,Bharatiya Janta Party,1419610,1052720,74.2 %,4265,0.4%
Kota,24,GEN,Rajasthan,Om Birla,Bharatiya Janta Party,1744539,1154960,66.2 %,200782,17.4%
Kottayam,14,GEN,Kerala,Jose K. Mani,Kerala Congress(M),1161463,831636,71.6 %,120599,14.5%
Kozhikode,5,GEN,Kerala,M .K Raghavan,Indian National Congress,1182484,943009,79.8 %,16883,1.8%
Krishnagiri,9,GEN,Tamil Nadu,Ashok Kumar.K,All India Anna Dravida Munnetra Kazhagam,1379957,1068391,77.4 %,206591,19.3%
Krishnanagar,12,GEN,West Bengal,Tapas Paul,All India Trinamool Congress,1476783,1247914,84.5 %,71255,5.7%
Kurnool,35,GEN,Andhra Pradesh [2014 Onwards],Butta Renuka,Yuvajana Sramika Rythu Congress Party,1481807,1065732,71.9 %,44131,4.1%
Kurukshetra,2,GEN,Haryana,Raj Kumar Saini,Bharatiya Janta Party,1498459,1135892,75.8 %,129736,11.4%
Kushi Nagar,65,GEN,Uttar Pradesh [2000 Onwards],Rajesh Pandey Urf Guddu,Bharatiya Janta Party,1680992,950445,56.5 %,85540,9.0%
Ladakh,4,GEN,Jammu & Kashmir,Thupstan Chhewang,Bharatiya Janta Party,166763,118029,70.8 %,36,0.0%
Lakhimpur,14,GEN,Assam,Sarbananda Sonowal,Bharatiya Janta Party,1430994,1111975,77.7 %,292138,26.3%
Lakshadweep,1,ST,Lakshadweep,Mohammed Faizal P.P.,Nationalist Congress Party,49922,43239,86.6 %,1535,3.6%
Lalganj,68,SC,Uttar Pradesh [2000 Onwards],Neelam Sonkar,Bharatiya Janta Party,1661483,898655,54.1 %,63086,7.0%
Latur,41,SC,Maharashtra,Dr. Sunil Baliram Gaikwad,Bharatiya Janta Party,1682607,1057156,62.8 %,253395,24.0%
Lohardaga,12,ST,Jharkhand,Sudarshan Bhagat,Bharatiya Janta Party,1119144,651460,58.2 %,6489,1.0%
Lucknow,35,GEN,Uttar Pradesh [2000 Onwards],Raj Nath Singh,Bharatiya Janta Party,1949956,1033783,53.0 %,272749,26.4%
Ludhiana,7,GEN,Punjab,Ravneet Singh Bittu,Indian National Congress,1561201,1100457,70.5 %,19709,1.8%
Machhlishahr,74,SC,Uttar Pradesh [2000 Onwards],Ram Charitra Nishad,Bharatiya Janta Party,1891969,997902,52.7 %,172155,17.3%
Machilipatnam,28,GEN,Andhra Pradesh [2014 Onwards],Konakalla Narayana Rao,Telugu Desam,1369311,1141065,83.3 %,81057,7.1%
Madha,43,GEN,Maharashtra,Mohite Patil Vijaysinh Shankarrao,Nationalist Congress Party,1727308,1079619,62.5 %,25344,2.3%
Madhepura,13,GEN,Bihar [2000 Onwards],Rajesh Ranjan @ Pappu Yadav,Rashtriya Janata Dal,1725578,1034799,60.0 %,56209,5.4%
Madhubani,6,GEN,Bihar [2000 Onwards],Hukm Deo Narayan Yadav,Bharatiya Janta Party,1627969,860453,52.9 %,20535,2.4%
Madurai,32,GEN,Tamil Nadu,R.Gopalakrishnan,All India Anna Dravida Munnetra Kazhagam,1441434,978346,67.9 %,197436,20.2%
Mahabubabad,16,ST,Telangana,Prof. Azmeera Seetaram Naik,Telangana Rashtra Samithi,1387343,1124370,81.0 %,34992,3.1%
Maharajganj,63,GEN,Uttar Pradesh [2000 Onwards],Pankaj,Bharatiya Janta Party,1743131,1056078,60.6 %,240458,22.8%
Maharajganj,19,GEN,Bihar [2000 Onwards],Janardan Singh Sigriwal,Bharatiya Janta Party,1644524,846654,51.5 %,38415,4.5%
Mahasamund,9,GEN,Chhattisgarh,Chandu Lal Sahu (CHANDU BHAIYA),Bharatiya Janta Party,1515747,1131209,74.6 %,1217,0.1%
Mahbubnagar,11,GEN,Telangana,Ap Jithender Reddy,Telangana Rashtra Samithi,1418672,1014800,71.5 %,2590,0.3%
Mahesana,4,GEN,Gujarat,Patel Jayshreeben Kanubhai,Bharatiya Janta Party,1498219,1004258,67.0 %,208891,20.8%
Mainpuri,21,GEN,Uttar Pradesh [2000 Onwards],Mulayam Singh Yadav,Samajwadi Party,1653065,999265,60.5 %,364666,36.5%
Malappuram,6,GEN,Kerala,E. Ahamed,Indian Union Muslim League,1198444,853467,71.2 %,194739,22.8%
Maldaha Dakshin,8,GEN,West Bengal,Abu Hasem Khan Chowdhury,Indian National Congress,1347143,1092407,81.1 %,164111,15.0%
Maldaha Uttar,7,GEN,West Bengal,Mausam Noor,Indian National Congress,1425428,1162985,81.6 %,65705,5.6%
Malkajgiri,7,GEN,Telangana,Ch.Malla Reddy,Telugu Desam,3183325,1620397,50.9 %,28371,1.8%
Mandi,2,GEN,Himachal Pradesh,Ram Swaroop Sharma,Bharatiya Janta Party,1150408,726094,63.1 %,39856,5.5%
Mandla,14,ST,Madhya Pradesh [2000 Onwards],Faggan Singh Kulaste,Bharatiya Janta Party,1824424,1218518,66.8 %,110469,9.1%
Mandsour,23,GEN,Madhya Pradesh [2000 Onwards],Sudhir Gupta,Bharatiya Janta Party,1626571,1161349,71.4 %,303649,26.1%
Mandya,20,GEN,Karnataka,C.S.Puttaraju,Janata Dal (Secular),1669262,1192638,71.5 %,5518,0.5%
Mangaldoi,8,GEN,Assam,Ramen Deka,Bharatiya Janta Party,1515676,1233237,81.4 %,22884,1.9%
Mathura,17,GEN,Uttar Pradesh [2000 Onwards],Hema Malini,Bharatiya Janta Party,1682260,1076868,64.0 %,330743,30.7%
Mathurapur,20,SC,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,1488784,1265531,85.0 %,138436,10.9%
Maval,33,GEN,Maharashtra,Appa Alias Shrirang Chandu Barne,Shiv Sena,1953741,1174335,60.1 %,157397,13.4%
Mavelikara,16,SC,Kerala,Kodikunnil Suresh,Indian National Congress,1252668,889060,71.0 %,32737,3.7%
Mayiladuthurai,28,GEN,Tamil Nadu,Bharathi Mohan R.K,All India Anna Dravida Munnetra Kazhagam,1350318,1025538,76.0 %,277050,27.0%
Mayurbhanj,5,ST,Orissa,Rama Chandra Hansdah,Biju Janata Dal,1327555,1053399,79.4 %,122866,11.7%
Medak,6,GEN,Telangana,Kalvakuntla Chandrasekhar Rao,Telangana Rashtra Samithi,1536715,1191096,77.5 %,397029,33.3%
Medinipur,34,GEN,West Bengal,Sandhya Roy,All India Trinamool Congress,1499673,1260032,84.0 %,184666,14.7%
Meerut,10,GEN,Uttar Pradesh [2000 Onwards],Rajendra Agarwal,Bharatiya Janta Party,1764388,1113384,63.1 %,232326,20.9%
Mirzapur,79,GEN,Uttar Pradesh [2000 Onwards],Anupriya Singh Patel,Apna Dal,1720661,1007627,58.6 %,219079,21.7%
Misrikh,32,SC,Uttar Pradesh [2000 Onwards],Anju Bala,Bharatiya Janta Party,1725585,998314,57.9 %,87363,8.8%
Mizoram,1,ST,Mizoram,C. L. Ruala,Indian National Congress,702170,433201,61.7 %,6154,1.4%
Mohanlalganj,34,SC,Uttar Pradesh [2000 Onwards],Kaushal Kishore,Bharatiya Janta Party,1838194,1116588,60.7 %,145416,13.0%
Moradabad,6,GEN,Uttar Pradesh [2000 Onwards],Kunwer Sarvesh Kumar,Bharatiya Janta Party,1772046,1127965,63.7 %,87504,7.8%
Morena,1,GEN,Madhya Pradesh [2000 Onwards],Anoop Mishra,Bharatiya Janta Party,1702492,854279,50.2 %,132981,15.6%
Mumbai North,26,GEN,Maharashtra,Gopal Chinayya Shetty,Bharatiya Janta Party,1783870,946562,53.1 %,446582,47.2%
Mumbai North Central,29,GEN,Maharashtra,Poonam Mahajan Alias Poonam Vajendla Rao,Bharatiya Janta Party,1738894,845292,48.6 %,186771,22.1%
Mumbai North East,28,GEN,Maharashtra,Kirit Somaiya,Bharatiya Janta Party,1668357,861761,51.7 %,317122,36.8%
Mumbai North West,27,GEN,Maharashtra,Gajanan Chandrakant Kirtikar,Shiv Sena,1775428,895517,50.4 %,183028,20.4%
Mumbai South,31,GEN,Maharashtra,Arvind Sawant,Shiv Sena,1485846,780715,52.5 %,128148,16.4%
Mumbai South Central,30,GEN,Maharashtra,Rahul Ramesh Shewale,Shiv Sena,1447885,769060,53.1 %,138342,18.0%
Munger,28,GEN,Bihar [2000 Onwards],Veena Devi,Lok Jan Shakti Party,1696546,914350,53.9 %,109084,11.9%
Murshidabad,11,GEN,West Bengal,Badaruddoza Khan,Communist Party Of India (MARXIST),1512098,1287763,85.2 %,18453,1.4%
Muzaffarnagar,3,GEN,Uttar Pradesh [2000 Onwards],(DR.) SANJEEV KUMAR BALYAN,Bharatiya Janta Party,1588483,1107434,69.7 %,401150,36.2%
Muzaffarpur,15,GEN,Bihar [2000 Onwards],Ajay Nishad,Bharatiya Janta Party,1551363,948887,61.2 %,222422,23.4%
Mysore,21,GEN,Karnataka,Prathap Simha,Bharatiya Janta Party,1723134,1159594,67.3 %,31608,2.7%
Nabarangpur,12,ST,Orissa,Balabhadra Majhi,Biju Janata Dal,1297210,1022172,78.8 %,2042,0.2%
Nagaland,1,ST,Nagaland,Neiphiu Rio,Naga Peoples Front,1182948,1038910,87.8 %,400225,38.5%
Nagapattinam,29,SC,Tamil Nadu,Gopal. Dr. K,All India Anna Dravida Munnetra Kazhagam,1210626,942202,77.8 %,106079,11.3%
Nagarkurnool,12,SC,Telangana,Yellaiah Nandi,Indian National Congress,1477338,1108968,75.1 %,16676,1.5%
Nagaur,14,GEN,Rajasthan,C R Choudhary,Bharatiya Janta Party,1678662,1004019,59.8 %,75218,7.5%
Nagina,5,SC,Uttar Pradesh [2000 Onwards],Yashwant Singh,Bharatiya Janta Party,1493411,942196,63.1 %,92390,9.8%
Nagpur,10,GEN,Maharashtra,Gadkari Nitin Jairam,Bharatiya Janta Party,1900787,1085058,57.1 %,284828,26.3%
Nainital-Udhamsingh Nagar,4,GEN,Uttarakhand,Bhagat Singh Koshyari,Bharatiya Janta Party,1610810,1101435,68.4 %,284717,25.8%
Nalanda,29,GEN,Bihar [2000 Onwards],Kaushlendra Kumar,Janata Dal (United),1951967,921761,47.2 %,9627,1.0%
Nalgonda,13,GEN,Telangana,Gutha Sukhender Reddy,Indian National Congress,1495580,1189399,79.5 %,193156,16.2%
Namakkal,16,GEN,Tamil Nadu,Sundaram P.R,All India Anna Dravida Munnetra Kazhagam,1329552,1058755,79.6 %,294374,27.8%
Nanded,16,GEN,Maharashtra,Ashok Shankarrao Chavan,Indian National Congress,1687057,1013350,60.1 %,81455,8.0%
Nandurbar,1,ST,Maharashtra,Dr.Gavit Heena Vaijaykumar,Bharatiya Janta Party,1672715,1116676,66.8 %,106905,9.6%
Nandyal,34,GEN,Andhra Pradesh [2014 Onwards],S.P.Y Reddy,Yuvajana Sramika Rythu Congress Party,1577128,1204956,76.4 %,105766,8.8%
Narasaraopet,31,GEN,Andhra Pradesh [2014 Onwards],Sambasiva Rao Rayapati,Telugu Desam,1514861,1282058,84.6 %,35280,2.8%
Narsapuram,26,GEN,Andhra Pradesh [2014 Onwards],Gokaraju Ganga Raju,Bharatiya Janta Party,1325143,1088951,82.2 %,85351,7.8%
Nashik,21,GEN,Maharashtra,Godse Hemant Tukaram,Shiv Sena,1593237,937405,58.8 %,187336,20.0%
Navsari,25,GEN,Gujarat,C. R. Patil,Bharatiya Janta Party,1764622,1160747,65.8 %,558116,48.1%
Nawada,39,GEN,Bihar [2000 Onwards],Giriraj Singh,Bharatiya Janta Party,1675789,884441,52.8 %,140157,15.8%
Nellore,39,GEN,Andhra Pradesh [2014 Onwards],Mekapati Rajamohan Reddy,Yuvajana Sramika Rythu Congress Party,1606140,1187648,73.9 %,13478,1.1%
New Delhi,4,GEN,Delhi [1977 Onwards],Meenakashi Lekhi,Bharatiya Janta Party,1490147,969812,65.1 %,162708,16.8%
Nilgiris,19,SC,Tamil Nadu,Gopalakrishnan C.,All India Anna Dravida Munnetra Kazhagam,1269163,933076,73.5 %,104940,11.2%
Nizamabad,4,GEN,Telangana,Kalvakuntla Kavitha,Telangana Rashtra Samithi,1496193,1033924,69.1 %,167184,16.2%
North East Delhi,2,GEN,Delhi [1977 Onwards],Manoj Tiwari,Bharatiya Janta Party,1957707,1317338,67.3 %,144084,10.9%
North Goa,1,GEN,Goa,Shripad Yesso Naik,Bharatiya Janta Party,515441,406631,78.9 %,105599,26.0%
North West Delhi,5,SC,Delhi [1977 Onwards],Udit Raj,Bharatiya Janta Party,2194425,1356036,61.8 %,106802,7.9%
Nowgong,10,GEN,Assam,Rajen Gohain,Bharatiya Janta Party,1523881,1230074,80.7 %,143559,11.7%
Ongole,33,GEN,Andhra Pradesh [2014 Onwards],Y.V.Subba Reddy,Yuvajana Sramika Rythu Congress Party,1470483,1208225,82.2 %,15658,1.3%
Osmanabad,40,GEN,Maharashtra,Gaikwad Ravindra Vishwanath,Shiv Sena,1726793,1118151,64.8 %,234325,21.0%
Outer Manipur,2,ST,Manipur,Thangso Baite,Indian National Congress,918966,771766,84.0 %,15637,2.0%
Palakkad,8,GEN,Kerala,M B Rajesh,Communist Party Of India (MARXIST),1208758,910322,75.3 %,105300,11.6%
Palamau,13,SC,Jharkhand,Vishnu Dayal Ram,Bharatiya Janta Party,1645957,977323,59.4 %,263942,27.0%
Palghar,22,ST,Maharashtra,Adv. Chintaman Navasha Wanga,Bharatiya Janta Party,1578077,992618,62.9 %,239520,24.1%
Pali,15,GEN,Rajasthan,P P Choudhary,Bharatiya Janta Party,1893030,1095587,57.9 %,399039,36.4%
Panchmahal,18,GEN,Gujarat,Chauhan Prabhatsinh Pratapsinh,Bharatiya Janta Party,1576667,933461,59.2 %,170596,18.3%
Parbhani,17,GEN,Maharashtra,Jadhav Sanjay (BANDU) HARIBHAU,Shiv Sena,1803792,1162233,64.4 %,127155,10.9%
Paschim Champaran,2,GEN,Bihar [2000 Onwards],Dr. Sanjay Jaiswal,Bharatiya Janta Party,1413073,854800,60.5 %,110254,12.9%
Pataliputra,31,GEN,Bihar [2000 Onwards],Ram Kripal Yadav,Bharatiya Janta Party,1736074,978649,56.4 %,40322,4.1%
Patan,3,GEN,Gujarat,Liladharbhai Khodaji Vaghela,Bharatiya Janta Party,1628641,955799,58.7 %,138719,14.5%
Pathanamthitta,17,GEN,Kerala,Anto Antony,Indian National Congress,1323906,869452,65.7 %,56191,6.5%
Patiala,13,GEN,Punjab,Dr. Dharam Vira Gandhi,Aam Aadmi Party,1580273,1120933,70.9 %,20942,1.9%
Patna Sahib,30,GEN,Bihar [2000 Onwards],Shatrughana Sinha,Bharatiya Janta Party,1946249,882262,45.3 %,265805,30.1%
Peddapalli,2,SC,Telangana,Balka Suman,Telangana Rashtra Samithi,1425361,1022184,71.7 %,291158,28.5%
