,Name,No.of votes,Percentage of votes,Party
397,Shrichand Kriplani,"326,885",41.1%,Bharatiya Janta Party
398,Radha Devi Bhandari,"19,594",2.5%,Communist Party Of India
399,Ram Singh Kaswan,"376,708",46.9%,Bharatiya Janta Party
400,Rafique Mandelia,"364,268",45.4%,Indian National Congress
401,Budh Ram Saini,"25,690",3.2%,Bahujan Samaj Party
402,Natarajan.P.R.,"293,165",35.5%,Communist Party Of India (MARXIST)
403,Prabhu.R,"254,501",30.8%,Indian National Congress
404,Eswaran.E.R,"128,070",15.5%,Kongu Nadu Munnetra Kazhagam
405,Nripendra Nath Roy,"500,677",44.6%,All India Forward Bloc
406,Arghya Roy Pradhan,"466,928",41.6%,All India Trinamool Congress
407,Bhabendra Nath Barman,"65,325",5.8%,Bharatiya Janta Party
408,Alagiri S,"320,473",42.7%,Indian National Congress
409,Sampath M C,"296,941",39.6%,All India Anna Dravida Munnetra Kazhagam
410,Dhamotharan M C,"93,172",12.4%,Desiya Murpokku Dravida Kazhagam
411,Bhartruhari Mahtab,"465,089",57.2%,Biju Janata Dal
412,Bibhuti Bhusan Mishra,"228,797",28.1%,Indian National Congress
413,Anadi Sahu,"75,118",9.2%,Bharatiya Janta Party
414,Patel Natubhai Gomanbhai,"51,242",46.4%,Bharatiya Janta Party
415,Delkar Mohanbhai Sanjibhai,"50,624",45.9%,Indian National Congress
416,Mishal Laxmanbhai Navasubhai,"5,711",5.2%,Independent
417,Dr. Prabha Kishor Taviad,"250,586",46.9%,Indian National Congress
418,Damor Somjibhai Punjabhai,"192,050",35.9%,Bharatiya Janta Party
419,K.C.Munia Advocate,"29,700",5.6%,Samajwadi Party
420,Nalin Kumar Kateel,"499,385",49.1%,Bharatiya Janta Party
421,Janardhana Poojary,"458,965",45.2%,Indian National Congress
422,B.Madhava,"18,328",1.8%,Communist Party Of India (MARXIST)
423,Lalubhai Patel,"44,546",65.5%,Bharatiya Janta Party
424,Dahyabhai Vallabhbhai Patel,"19,708",29.0%,Indian National Congress
425,Tandel Gopalbhai Kalyanbhai,"2,144",3.2%,Nationalist Congress Party
426,Shivraj Bhaiya,"302,673",50.5%,Bharatiya Janta Party
427,Chandrabhan Bhaiya,"231,796",38.7%,Indian National Congress
428,Ahir Kamla Yadav,"7,826",1.3%,Samajwadi Party
429,Kirti Azad,"239,268",43.8%,Bharatiya Janta Party
430,Md. Ali Ashraf Fatmi,"192,815",35.3%,Rashtriya Janata Dal
431,Ajay Kumar Jalan,"40,724",7.5%,Indian National Congress
432,Jaswant Singh,"497,649",51.4%,Bharatiya Janta Party
433,Jibesh Sarkar,"244,360",25.3%,Communist Party Of India (MARXIST)
434,Dawa Narbula,"187,809",19.4%,Indian National Congress
435,Kirodi Lal,"433,666",51.5%,Independent
436,Qummer Rubbani,"295,907",35.2%,Independent
437,Laxman,"59,154",7.0%,Indian National Congress
438,G.M. Siddeswara,"423,447",46.7%,Bharatiya Janta Party
439,S.S. Mallikarjuna,"421,423",46.4%,Indian National Congress
440,K.B. Kallerudreshappa,"10,489",1.2%,Janata Dal (Secular)
441,Gorakh Prasad Jaiswal,"219,889",30.7%,Bahujan Samaj Party
442,Shri Prakash Mani Tripathi,"178,110",24.9%,Bharatiya Janta Party
443,Mohan Singh,"151,389",21.2%,Samajwadi Party
444,Sajjan Singh Verma,"376,421",47.8%,Indian National Congress
445,Thavarchand Gehlot,"360,964",45.8%,Bharatiya Janta Party
446,Bhagirath Parihar,"10,743",1.4%,Bahujan Samaj Party
447,Pashupati Nath Singh,"260,521",32.0%,Bharatiya Janta Party
448,Chandrashekhar Dubey,"202,474",24.9%,Indian National Congress
449,Samaresh Singh,"132,445",16.3%,Bahujan Samaj Party
450,Gajendra Singh Rajukhedi,"302,660",46.2%,Indian National Congress
451,Mukam Singh Kirade,"299,999",45.8%,Bharatiya Janta Party
452,Ajay Rawat,"16,082",2.5%,Bahujan Samaj Party
453,Thamaraiselvan. R,"365,812",47.0%,Dravida Munetra Kazhagam
454,Senthil. R. Dr.,"229,870",29.5%,Pattali Makkal Katchi
455,Elangovan. V,"103,494",13.3%,Desiya Murpokku Dravida Kazhagam
456,Pralhad Joshi,"446,786",56.0%,Bharatiya Janta Party
457,Kunnur Manjunath Channappa,"309,123",38.7%,Indian National Congress
458,Talakallamath Mahesh Gurupadayya,"7,176",0.9%,Nationalist Congress Party
459,Kunwar Jitin Prasad,"391,391",51.5%,Indian National Congress
460,Rajesh Kumar Singh Alias Rajesh Verma,"206,882",27.2%,Bahujan Samaj Party
461,Om Prakash,"102,898",13.5%,Samajwadi Party
462,Tathagata Satpathy,"398,568",46.5%,Biju Janata Dal
463,Chandra Sekhar Tripathi,"211,981",24.7%,Indian National Congress
464,Rudranarayan Pany,"208,296",24.3%,Bharatiya Janta Party
465,Badruddin Ajmal,"540,820",51.7%,Assam United Democratic Front
466,Anwar Hussain,"356,401",34.0%,Indian National Congress
467,Arun Das,"81,617",7.8%,Rashtrawadi Sena
468,Sonawane Pratap Narayanrao,"263,260",39.3%,Bharatiya Janta Party
469,Amarishbhai Rasiklal Patel,"243,841",36.4%,Indian National Congress
470,Nihal Ahmed Molvi. Mohammed Usman,"72,738",10.8%,Janata Dal (Secular)
471,Somendra Nath Mitra,"564,612",53.5%,All India Trinamool Congress
472,Samik Lahiri,"412,923",39.2%,Communist Party Of India (MARXIST)
473,Abhijit Das,"37,542",3.6%,Bharatiya Janta Party
474,Paban Singh Ghatowar,"359,163",47.8%,Indian National Congress
475,Sarbananda Sonowal,"324,020",43.2%,Asom Gana Parisad
476,Sima Ghosh,"20,816",2.8%,Independent
477,Chitthan N S V,"361,545",44.0%,Indian National Congress
478,Baalasubramani P,"307,198",37.4%,All India Anna Dravida Munnetra Kazhagam
479,Muthuvelraj P,"100,788",12.3%,Desiya Murpokku Dravida Kazhagam
480,Chavan Harishchandra Deoram,"281,254",41.3%,Bharatiya Janta Party
481,Zirwal Narhari Sitaram,"243,907",35.8%,Nationalist Congress Party
482,Gavit Jeeva Pandu,"105,352",15.5%,Communist Party Of India (MARXIST)
483,Jagdambika Pal,"229,872",31.2%,Indian National Congress
484,Jai Pratap Singh,"153,306",20.8%,Bharatiya Janta Party
485,Mohd. Muqueem,"151,787",20.6%,Bahujan Samaj Party
486,Sougata Ray,"458,988",47.0%,All India Trinamool Congress
487,Amitava Nandy,"438,510",44.9%,Communist Party Of India (MARXIST)
488,Tapan Sikdar,"55,679",5.7%,Bharatiya Janta Party
489,Shibu Soren,"208,518",33.5%,Jharkhand Mukti Morcha
490,Sunil Soren,"189,706",30.5%,Bharatiya Janta Party
491,Ramesh Hembrom,"64,528",10.4%,Jharkhand Vikas Morcha (Prajatantrik)
492,Saroj Pandey,"283,170",31.3%,Bharatiya Janta Party
493,Pradeep Choubey,"273,216",30.2%,Indian National Congress
494,Tarachand Sahu Bhilai Nagar,"261,879",28.9%,Independent
495,Sandeep Dikshit,"518,001",60.4%,Indian National Congress
496,Chetan Chauhan,"276,948",32.3%,Bharatiya Janta Party
497,Mohammad Yunus,"45,447",5.3%,Bahujan Samaj Party
498,Kavuri Sambasiva Rao,"423,777",39.1%,Indian National Congress
499,Maganti Venkateswara Rao(Babu),"380,994",35.1%,Telugu Desam
500,K P Reddaiah Yadav,"225,928",20.8%,Praja Rajyam Party
501,Prof. K V Thomas,"342,845",46.0%,Indian National Congress
502,Sindhu Joy,"331,055",44.4%,Communist Party Of India (MARXIST)
503,A.N. Radhakrishnan,"52,968",7.1%,Bharatiya Janta Party
504,Ganeshamurthi.A.,"284,148",37.0%,Marumalarchi Dravida Munnetra Kazhagam
505,Elangovan.E.V.K.S.,"234,812",30.6%,Indian National Congress
506,Balasubramaniam.C,"106,604",13.9%,Kongu Nadu Munnetra Kazhagam
507,Kalyan Singh R O Madholi,"275,717",48.5%,Independent
508,Kunwar Devendra Singh Yadav,"147,449",26.0%,Bahujan Samaj Party
509,Dr.Shyam Singh Shakya,"88,562",15.6%,Bharatiya Janta Party
510,Premdas,"278,776",43.7%,Samajwadi Party
511,Gaurishanker,"232,030",36.4%,Bahujan Samaj Party
512,Kamlesh Verma,"105,652",16.6%,Bharatiya Janta Party
513,Nirmal Khatri,"211,543",28.2%,Indian National Congress
514,Mitrasen,"157,315",21.0%,Samajwadi Party
515,Lallu Singh,"151,558",20.2%,Bharatiya Janta Party
516,Avtar Singh Bhadana,"257,864",41.3%,Indian National Congress
517,Ramchander Bainda,"189,663",30.4%,Bharatiya Janta Party
518,Chetan Sharma,"113,453",18.2%,Bahujan Samaj Party
519,Paramjit Kaur Gulshan,"457,734",49.2%,Shiromani Akali Dal
520,Sukhwinder Singh Danny,"395,692",42.5%,Indian National Congress
521,Resham Singh,"34,479",3.7%,Bahujan Samaj Party
522,Salman Khursheed,"169,351",27.7%,Indian National Congress
523,Naresh Chandra Agrawal,"142,152",23.3%,Bahujan Samaj Party
524,Chandra Bhushan Singh Urf Munnu Babu,"127,347",20.8%,Samajwadi Party
525,Sukhdev Singh,"393,557",47.0%,Indian National Congress
526,Charanjit Singh Atwal,"359,258",42.9%,Shiromani Akali Dal
527,Rai Singh,"65,459",7.8%,Bahujan Samaj Party
528,Rakesh Sachan,"218,953",31.5%,Samajwadi Party
529,Mahendra Prasad Nishad,"166,725",24.0%,Bahujan Samaj Party
530,Radhey Shyam Gupta,"115,712",16.7%,Bharatiya Janta Party
531,Seema Upadhyay,"209,466",30.1%,Bahujan Samaj Party
532,Raj Babbar,"199,530",28.7%,Indian National Congress
533,Raja Mahendra Aridaman Singh,"154,373",22.2%,Bharatiya Janta Party
534,Sher Singh Ghubaya,"450,900",47.1%,Shiromani Akali Dal
535,Jagmeet Singh Brar,"429,829",44.9%,Indian National Congress
536,Gurdev Singh,"29,713",3.1%,Bahujan Samaj Party
537,Akhilesh Yadav,"287,011",41.9%,Samajwadi Party
538,Prof. S.P. Singh Baghel,"219,710",32.1%,Bahujan Samaj Party
539,Raghuvar Dayal Verma,"101,561",14.8%,Bharatiya Janta Party
540,Kowase Marotrao Sainuji,"321,756",38.4%,Indian National Congress
541,Ashok Mahadeorao Nete,"293,176",35.0%,Bharatiya Janta Party
542,Atram Raje Satyawanrao,"135,756",16.2%,Bahujan Samaj Party
543,Lal Krishna Advani,"434,044",54.9%,Bharatiya Janta Party
544,Patel Sureshkumar Chaturdas (Suresh Patel),"312,297",39.5%,Indian National Congress
545,Dr.Mallika Sarabhai,"9,268",1.2%,Independent
546,Bharat Ram Meghwal,"476,554",52.3%,Indian National Congress
547,Nihal Chand Meghwal,"335,886",36.9%,Bharatiya Janta Party
548,Sita Ram,"29,072",3.2%,Bahujan Samaj Party
549,Satpal Maharaj,"236,949",43.9%,Indian National Congress
550,"Lt. Gen(Retd) Tejpal Singh Rawat P.V.S.M, V.S.M","219,552",40.7%,Bharatiya Janta Party
551,Rajeev Agarwal,"34,622",6.4%,Bahujan Samaj Party
552,Bijoya Chakravarty,"496,047",44.7%,Bharatiya Janta Party
553,Capt. Robin Bordoloi,"484,192",43.7%,Indian National Congress
554,Sonabor Ali,"73,316",6.6%,Assam United Democratic Front
555,Surendra Singh Nagar,"245,613",33.2%,Bahujan Samaj Party
556,Mahesh Kumar Sharma,"229,709",31.1%,Bharatiya Janta Party
557,Narendra Singh Bhati,"118,584",16.0%,Samajwadi Party
558,Hari Manjhi,"246,255",43.7%,Bharatiya Janta Party
559,Ramji Manjhi,"183,802",32.6%,Rashtriya Janata Dal
560,Sanjiv Prasad Toni,"64,902",11.5%,Indian National Congress
561,Gurudas Das Gupta,"625,923",53.5%,Communist Party Of India
562,Nure Alam Chowdhury,"478,739",40.9%,All India Trinamool Congress
563,Matilal Khatua,"35,004",3.0%,Bharatiya Janta Party
564,Rajnath Singh,"359,637",43.3%,Bharatiya Janta Party
565,Surendra Prakash Goel,"268,956",32.4%,Indian National Congress
566,Pt. Amar Pal Sharma,"180,285",21.7%,Bahujan Samaj Party
567,Radhey Mohan Singh,"379,233",49.2%,Samajwadi Party
568,Afzal Ansari,"309,924",40.2%,Bahujan Samaj Party
569,Prabhunath,"21,679",2.8%,Bharatiya Janta Party
570,Dara Singh Chauhan,"220,695",28.8%,Bahujan Samaj Party
571,Arshad Jamal Ansari,"159,750",20.9%,Samajwadi Party
572,Sudha Rai,"150,242",19.6%,Indian National Congress
573,Ravindra Kumar Pandey,"233,435",37.7%,Bharatiya Janta Party
574,Teklal Mahto,"138,697",22.4%,Jharkhand Mukti Morcha
575,Saba Ahmad,"126,722",20.5%,Jharkhand Vikas Morcha (Prajatantrik)
576,Nishikant Dubey,"189,526",23.8%,Bharatiya Janta Party
577,Furkan Ansari,"183,119",23.0%,Indian National Congress
578,Pradeep Yadav,"176,926",22.2%,Jharkhand Vikas Morcha (Prajatantrik)
579,Beni Prasad Verma,"155,675",25.7%,Indian National Congress
580,Kirti Vardhan Singh (Raja Bhaiya),"132,000",21.8%,Bahujan Samaj Party
581,Ram Pratap Singh,"90,498",15.0%,Bharatiya Janta Party
582,Purnmasi Ram,"200,024",39.6%,Janata Dal (United)
583,Anil Kumar,"157,552",31.2%,Rashtriya Janata Dal
584,Janak Ram,"47,545",9.4%,Bahujan Samaj Party
585,Adityanath,"403,156",53.9%,Bharatiya Janta Party
586,Vinay Shankar Tiwari,"182,885",24.4%,Bahujan Samaj Party
587,Manoj Tiwari Mridul,"83,059",11.1%,Samajwadi Party
588,Mallikarjun Kharge,"345,241",45.5%,Indian National Congress
589,Revunaik Belamgi,"331,837",43.7%,Bharatiya Janta Party
590,Babu Honna Naik,"27,130",3.6%,Janata Dal (Secular)
591,Jyotiraditya Scindia,"413,297",63.6%,Indian National Congress
592,Dr.Narottam Mishra,"163,560",25.2%,Bharatiya Janta Party
593,Lokpal Lodhi,"29,164",4.5%,Bahujan Samaj Party
594,Rayapati Sambasiva Rao,"403,937",38.5%,Indian National Congress
595,Madala Rajendra,"364,582",34.7%,Telugu Desam
596,Thota Chandra Sekhar,"227,764",21.7%,Praja Rajyam Party
597,Partap Singh Bajwa,"447,994",48.0%,Indian National Congress
598,Vinod Khanna,"439,652",47.1%,Bharatiya Janta Party
599,Swaran Singh Thakur,"15,420",1.7%,Bahujan Samaj Party
600,Inderjit Singh,"278,516",36.8%,Indian National Congress
601,Zakir Hussain,"193,652",25.6%,Bahujan Samaj Party
602,Sudha,"125,837",16.6%,Bharatiya Janta Party
603,Yashodhara Raje Scindia,"252,314",43.2%,Bharatiya Janta Party
604,Ashok Singh,"225,723",38.6%,Indian National Congress
605,Ajab Singh Kushwah,"76,481",13.1%,Bahujan Samaj Party
606,Ram Sundar Das,"246,715",44.4%,Janata Dal (United)
607,Ram Vilas Paswan,"208,761",37.6%,Lok Jan Shakti Party
608,Dasai Choudhary,"21,585",3.9%,Indian National Congress
609,Anurag Singh Thakur,"373,598",53.4%,Bharatiya Janta Party
610,Narinder Thakur,"300,866",43.0%,Indian National Congress
611,Mangat Ram Sharma,"11,774",1.7%,Bahujan Samaj Party
612,Vijay Bahadur Singh,"199,143",28.5%,Bahujan Samaj Party
613,Siddha Gopal Sahu,"173,641",24.8%,Indian National Congress
614,Ashok Kumar Singh Chandel,"165,938",23.7%,Samajwadi Party
615,Usha Verma,"294,030",51.1%,Samajwadi Party
616,Ram Kumar Kuril,"201,095",35.0%,Bahujan Samaj Party
617,Purnima Verma,"54,115",9.4%,Bharatiya Janta Party
618,Harish Rawat,"332,235",42.2%,Indian National Congress
619,Swami Yatindranand Giri,"204,823",26.0%,Bharatiya Janta Party
620,Shahzad,"181,296",23.0%,Bahujan Samaj Party
621,H D Devegowda,"496,429",50.6%,Janata Dal (Secular)
622,K. H. Hanume Gowda,"205,316",20.9%,Bharatiya Janta Party
623,B. Shivaramu,"201,147",20.5%,Indian National Congress
624,Sarika Singh,"247,927",38.2%,Rashtriya Lok Dal
625,Rajendra Kumar,"211,075",32.5%,Bahujan Samaj Party
626,Anar Singh,"115,187",17.8%,Samajwadi Party
627,Shetti Raju Alias Devappa Anna,"481,025",49.2%,Swabhimani Paksha
628,Mane Nivedita Sambhajirao,"385,965",39.4%,Nationalist Congress Party
629,Raghunath Ramchandra Patil,"55,050",5.6%,Shiv Sena
630,Udasi Shivkumar Chanabasappa,"430,293",49.3%,Bharatiya Janta Party
631,Saleem Ahamed,"342,373",39.3%,Indian National Congress
632,Shivkumargoud Shidlingangouda Patil,"45,659",5.2%,Janata Dal (Secular)
633,Yashwant Sinha,"219,810",31.8%,Bharatiya Janta Party
634,Saurabh Narain Singh,"179,646",26.0%,Indian National Congress
635,Chandra Prakash Chowdhary,"86,880",12.6%,Ajsu Party
636,Kristappa Nimmala,"435,753",42.3%,Telugu Desam
637,P Khasim Khan,"412,918",40.1%,Indian National Congress
638,Kadapala Sreekantha Reddy,"110,698",10.8%,Praja Rajyam Party
639,Subhash Bapurao Wankhede,"340,148",41.6%,Shiv Sena
640,Suryakanta Jaiwantrao Patil,"266,514",32.6%,Nationalist Congress Party
641,Dr. B.D. Chavhan,"111,357",13.6%,Bahujan Samaj Party
642,Bhajan Lal S/o Kheraj,"248,476",30.0%,Haryana Janhit Congress (BL)
643,Sampat Singh,"241,493",29.1%,Indian National Lok Dal
644,Jai Parkash,"204,539",24.7%,Indian National Congress
645,Dr. Ratna De (Nag),"574,022",49.3%,All India Trinamool Congress
646,Rupchand Pal,"492,499",42.3%,Communist Party Of India (MARXIST)
647,Dr. Chuni Lal Chakraborty,"39,784",3.4%,Bharatiya Janta Party
648,Uday Pratap Singh,"339,496",47.7%,Indian National Congress
649,Rampal Singh,"320,251",45.0%,Bharatiya Janta Party
650,Sudama Prasad,"13,325",1.9%,Independent
651,Santosh Chowdhary,"358,812",42.6%,Indian National Congress
652,Som Parkash,"358,446",42.5%,Bharatiya Janta Party
653,Sukhwinder Kumar,"103,320",12.3%,Bahujan Samaj Party
654,Ambica Banerjee,"477,449",48.0%,All India Trinamool Congress
655,Swadesh Chakrabortty,"440,057",44.3%,Communist Party Of India (MARXIST)
656,Polly Mukherjee,"37,723",3.8%,Bharatiya Janta Party
657,Asaduddin Owaisi,"308,061",42.2%,All India Majlis-E-Ittehadul Muslimoon
658,Zahid Ali Khan,"194,196",26.6%,Telugu Desam
659,P. Laxman Rao Goud,"93,917",12.9%,Indian National Congress
660,Adv. P.T Thomas,"408,484",51.9%,Indian National Congress
661,Adv. K. Francis George,"333,688",42.4%,Kerala Congress
662,Sreenagari Rajan,"28,227",3.6%,Bharatiya Janta Party
663,Sumitra Mahajan (Tai),"388,662",48.8%,Bharatiya Janta Party
664,Satynarayan Patel,"377,182",47.3%,Indian National Congress
665,Rahim Khan,"7,226",0.9%,Bahujan Samaj Party
666,Dr. Thokchom Meinya,"230,876",39.6%,Indian National Congress
667,Moirangthem Nara,"199,916",34.3%,Communist Party Of India
668,Thounaojam Chaoba,"101,787",17.4%,Manipur Peoples Party
669,Rakesh Singh,"343,922",54.3%,Bharatiya Janta Party
670,Advocate Rameshwar Neekhra,"237,919",37.6%,Indian National Congress
671,Aziz Qureshi,"21,080",3.3%,Bahujan Samaj Party
672,Kabir Suman,"540,667",49.8%,All India Trinamool Congress
673,Sujan Chakraborty,"484,400",44.6%,Communist Party Of India (MARXIST)
674,Sanat Bhattacharya,"25,331",2.3%,Bharatiya Janta Party
675,Bibhu Prasad Tarai,"457,234",46.5%,Communist Party Of India
676,Rabindra Kumar Sethy,"380,499",38.7%,Indian National Congress
677,Baidhar Mallick,"99,100",10.1%,Bharatiya Janta Party
678,Jagdish Sharma,"234,769",39.2%,Janata Dal (United)
679,Surendra Prasad Yadav,"213,442",35.6%,Rashtriya Janata Dal
680,Dr. Arun Kumar,"48,487",8.1%,Indian National Congress
681,Mahesh Joshi,"397,438",48.9%,Indian National Congress
682,Ghanshyam Tiwari,"381,339",46.9%,Bharatiya Janta Party
683,Vijay Peshwani,"6,591",0.8%,Bahujan Samaj Party
684,Lal Chand Kataria,"278,266",40.5%,Indian National Congress
685,Rao Rajendra Singh,"226,029",32.9%,Bharatiya Janta Party
686,Sukhveer Singh Jaunapuria,"127,664",18.6%,Independent
687,Mohan Jena,"433,350",53.0%,Biju Janata Dal
688,Amiya Kanta Mallik,"305,603",37.4%,Indian National Congress
689,Parameswar Sethi,"48,890",6.0%,Bharatiya Janta Party
690,Mohinder Singh Kaypee,"408,103",45.4%,Indian National Congress
691,Hans Raj Hans,"371,658",41.3%,Shiromani Akali Dal
692,Surjit Singh,"93,592",10.4%,Bahujan Samaj Party
693,Ghansyam Anuragi,"283,023",35.5%,Samajwadi Party
694,Tilak Chandra Ahirwar,"271,614",34.1%,Bahujan Samaj Party
695,Bhanu Pratap Singh Verma,"131,259",16.5%,Bharatiya Janta Party
696,A.T. Nana Patil,"343,647",52.3%,Bharatiya Janta Party
697,Adv. Vasantrao Jivanrao More,"247,627",37.7%,Nationalist Congress Party
698,Wagh Sudhakar Atmaram,"19,206",2.9%,Independent
699,Danve Raosaheb Dadarao Patil,"350,710",44.0%,Bharatiya Janta Party
700,Dr. Kale Kalyan Vaijinathrao,"342,228",42.9%,Indian National Congress
701,Rathod Rajpalsinh Gabrusinh,"35,976",4.5%,Bahujan Samaj Party
702,Devji Patel,"194,503",33.7%,Bharatiya Janta Party
703,Buta Singh,"144,698",25.0%,Independent
704,Sandhya Choudhary,"113,332",19.6%,Indian National Congress
705,Mahendra Kumar Roy,"469,613",45.5%,Communist Party Of India (MARXIST)
706,Barma Sukhbilas,"381,242",36.9%,Indian National Congress
707,Dwipendra Nath Pramanik,"94,373",9.1%,Bharatiya Janta Party
708,Madan Lal Sharma,"382,305",45.4%,Indian National Congress
709,Lila Karan Sharma,"260,932",31.0%,Bharatiya Janta Party
710,S.Tarlok Singh,"93,730",11.1%,Jammu &amp; Kashmir Peoples Democratic Party
711,Ahir Vikrambhai Arjanbhai Madam,"281,410",47.3%,Indian National Congress
712,Mungra Rameshbhai Devrajbhai,"254,992",42.9%,Bharatiya Janta Party
713,Chavda Jaysukhbhai Trikambhai,"11,967",2.0%,Bahujan Samaj Party
714,Arjun Munda,"319,620",45.3%,Bharatiya Janta Party
715,Suman Mahato,"199,957",28.3%,Jharkhand Mukti Morcha
716,Arvind Kumar Singh,"79,089",11.2%,Jharkhand Vikas Morcha (Prajatantrik)
717,Bhudeo Choudhary,"178,560",33.4%,Janata Dal (United)
718,Shyam Rajak,"148,763",27.8%,Rashtriya Janata Dal
719,Ashok Choudhary,"71,267",13.3%,Indian National Congress
720,Pranab Mukherjee,"506,749",54.2%,Indian National Congress
721,Mriganka Sekhar Bhattacharya,"378,600",40.5%,Communist Party Of India (MARXIST)
722,Debashish Majumdar,"21,791",2.3%,Bharatiya Janta Party
723,Shrimati Kamla Devi Patle,"302,142",41.0%,Bharatiya Janta Party
724,Dr.Shivkumar Dahariya,"214,931",29.1%,Indian National Congress
725,Dauram Ratnakar,"175,979",23.9%,Bahujan Samaj Party
726,Dhananjay Singh,"302,618",39.6%,Bahujan Samaj Party
727,Paras Nath Yadava,"222,267",29.1%,Samajwadi Party
728,Seema,"143,377",18.8%,Bharatiya Janta Party
729,Dushyant Singh,"429,096",49.2%,Bharatiya Janta Party
730,"Urmila Jain ""bhaya""","376,255",43.1%,Indian National Congress
731,Abdul Qayyum Siddiqui,"16,357",1.9%,Bahujan Samaj Party
732,Mangani Lal Mandal,"265,175",43.6%,Janata Dal (United)
733,Devendra Prasad Yadav,"192,466",31.7%,Rashtriya Janata Dal
734,Kripanath Pathak,"86,228",14.2%,Indian National Congress
735,Pradeep Kumar Jain (Aditya),"252,712",29.3%,Indian National Congress
736,Ramesh Kumar Sharma,"205,042",23.8%,Bahujan Samaj Party
737,Chandrpal Singh Yadav,"132,076",15.3%,Samajwadi Party
738,Pulin Bihari Baske,"545,231",56.9%,Communist Party Of India (MARXIST)
739,Amrit Hansda,"252,886",26.4%,Indian National Congress
740,Chunibala Hansda,"48,175",5.0%,Jharkhand Party (NOREN)
741,Sheesh Ram Ola,"306,330",50.8%,Indian National Congress
742,Dr Dasrath Singh Shekhawat,"240,998",39.9%,Bharatiya Janta Party
743,Khatri Mustaq,"21,994",3.6%,Bahujan Samaj Party
744,Chandresh Kumari,"361,577",52.8%,Indian National Congress
745,Jaswant Singh Bisnoi,"263,248",38.5%,Bharatiya Janta Party
746,Raju Ram,"23,320",3.4%,Bahujan Samaj Party
747,Bijoy Krishna Handique,"362,320",47.4%,Indian National Congress
748,Kamakhya Tasa,"290,406",38.0%,Bharatiya Janta Party
749,Drupad Borgohain,"74,185",9.7%,Communist Party Of India
750,Dr. Tarun Mondal,"446,200",48.7%,Independent
751,Nimai Barman,"392,495",42.9%,Revolutionary Socialist Party
752,Nirode Chandra Halder,"24,608",2.7%,Bharatiya Janta Party
753,Solanki Dinubhai Boghabhai,"355,335",46.7%,Bharatiya Janta Party
754,Barad Jashubhai Dhanabhai,"341,576",44.9%,Indian National Congress
755,Harilal Ranchhodbhai Chauhan,"23,290",3.1%,Independent
756,Jat Poonamben Veljibhai,"285,300",50.6%,Bharatiya Janta Party
757,Danicha Valjibhai Punamchandra,"213,957",37.9%,Indian National Congress
758,Vanzara Hiraben Dalpatbhai,"15,881",2.8%,Independent
759,Y.S. Jagan Mohan Reddy,"542,611",52.6%,Indian National Congress
760,Palem Srikanth Reddy,"363,765",35.3%,Telugu Desam
761,Dr. Khaleel Basha,"63,309",6.1%,Praja Rajyam Party
762,Tabassum Begum,"283,259",39.1%,Bahujan Samaj Party
763,Hukum Singh,"260,796",36.0%,Bharatiya Janta Party
764,Shajan Masood,"124,802",17.2%,Samajwadi Party
765,Brijbhushan Sharan Singh,"196,063",34.7%,Samajwadi Party
766,Surendra Nath Awasthi,"123,864",21.9%,Bahujan Samaj Party
767,Dr Lalta Prasad Mishra Alias Dr L P Mishra,"120,561",21.3%,Bharatiya Janta Party
768,M.M.Pallamraju,"323,607",33.4%,Indian National Congress
769,Chalamalasetty Sunil,"289,563",29.9%,Praja Rajyam Party
770,Vasamsetty Satya,"258,046",26.7%,Telugu Desam
771,Bhakta Charan Das,"401,736",41.0%,Indian National Congress
772,Subash Chandra Nayak,"247,699",25.3%,Biju Janata Dal
773,Bikram Keshari Deo,"221,851",22.6%,Bharatiya Janta Party
774,Dip Gogoi,"434,676",45.2%,Indian National Congress
775,Gunin Hazarika,"282,687",29.4%,Asom Gana Parisad
776,Siraj Uddin Ajmal,"198,983",20.7%,Assam United Democratic Front
777,Sankar Adhi,"363,601",42.4%,Dravida Munetra Kazhagam
778,Senthilkumar K,"6,030",0.7%,Bahujan Samaj Party
779,Dhanaraju K,"254,993",29.7%,Pattali Makkal Katchi
780,Anand Prakash Paranjape,"212,476",39.0%,Shiv Sena
781,Davkhare Vasant Shankarrao,"188,274",34.6%,Nationalist Congress Party
782,Vaishali Darekar-Rane,"102,063",18.7%,Maharashtra Navnirman Sena
783,Viswanathan.P,"330,237",42.0%,Indian National Congress
784,Ramakrishnan.Dr.E,"317,134",40.3%,All India Anna Dravida Munnetra Kazhagam
785,Tamilvendan.T,"103,560",13.2%,Desiya Murpokku Dravida Kazhagam
786,Rudramadhab Ray,"315,314",44.5%,Biju Janata Dal
787,Suzit Kumar Padhi,"164,307",23.2%,Indian National Congress
788,Ashok Sahu,"147,020",20.8%,Bharatiya Janta Party
789,Dr. Rajan Sushant,"322,254",48.7%,Bharatiya Janta Party
790,Chandar Kumar,"301,475",45.5%,Indian National Congress
791,Col.Narinder Singh Pathania,"12,745",1.9%,Bahujan Samaj Party
792,Sohan Potai,"341,131",46.0%,Bharatiya Janta Party
793,Smt. Phoolo Devi Netam,"321,843",43.4%,Indian National Congress
794,Mayaram Netam (Fulsingh Siladar),"21,022",2.8%,Independent
795,Akhilesh Yadav,"337,751",45.5%,Samajwadi Party
