,Place,Rank,Name,No.of votes,Percentage of votes,Party
429,,2,Susmita Bauri,"429,185",33.7%,Communist Party Of India (MARXIST)
430,,3,Jayanta Mondal,"179,530",14.1%,Bharatiya Janta Party
431,,,,,,
432,Bolangir,1,Kalikesh Narayan Singh Deo,"453,519",38.7%,Biju Janata Dal
433,,2,Sangeeta Kumari Singh Deo,"349,220",29.8%,Bharatiya Janta Party
434,,3,Sarat Pattnayak,"277,616",23.7%,Indian National Congress
435,,,,,,
436,Bolpur,1,Anupam Hazra,"630,693",48.3%,All India Trinamool Congress
437,,2,Dome Ramchandra,"394,581",30.2%,Communist Party Of India (MARXIST)
438,,3,Kamini Mohan Sarkar,"197,474",15.1%,Bharatiya Janta Party
439,,,,,,
440,Bulandshahr,1,Bhola Singh,"604,449",59.9%,Bharatiya Janta Party
441,,2,Pradeep Kumar Jatav,"182,476",18.1%,Bahujan Samaj Party
442,,3,Kamlesh,"128,737",12.7%,Samajwadi Party
443,,,,,,
444,Buldhana,1,Jadhav Prataprao Ganpatrao,"509,145",52.0%,Shiv Sena
445,,2,Ingle Krushanarao Ganpatrao,"349,566",35.7%,Nationalist Congress Party
446,,3,Abdul Hafeez Abdul Aziz,"33,783",3.5%,Bahujan Samaj Party
447,,,,,,
448,Burdwan - Durgapur,1,Dr. Mamtaz Sanghamita,"554,521",41.7%,All India Trinamool Congress
449,,2,Sk. Saidul Haque,"447,190",33.6%,Communist Party Of India (MARXIST)
450,,3,Debasree Chaudhuri,"237,205",17.8%,Bharatiya Janta Party
451,,,,,,
452,Buxar,1,Ashwini Kumar Choubey,"319,012",35.9%,Bharatiya Janta Party
453,,2,Jagadanand Singh,"186,674",21.0%,Rashtriya Janata Dal
454,,3,Dadan Yadav,"184,788",20.8%,Bahujan Samaj Party
455,,,,,,
456,Chalakudy,1,Innocent,"358,440",40.5%,Independent
457,,2,P C Chacko,"344,556",39.0%,Indian National Congress
458,,3,Adv. B. Gopalakrishnan,"92,848",10.5%,Bharatiya Janta Party
459,,,,,,
460,Chamarajanagar,1,R. Dhruvanarayana,"567,782",50.1%,Indian National Congress
461,,2,A. R. Krishna Murthy,"426,600",37.7%,Bharatiya Janta Party
462,,3,M Shivanna (KOTE),"58,760",5.2%,Janata Dal (Secular)
463,,,,,,
464,Chandauli,1,Dr Mahendra Nath Pandey,"414,135",42.2%,Bharatiya Janta Party
465,,2,Anil Kumar Maurya,"257,379",26.2%,Bahujan Samaj Party
466,,3,Ramkishun,"204,145",20.8%,Samajwadi Party
467,,,,,,
468,Chandigarh,1,Kher Kirron Anupam,"191,362",42.2%,Bharatiya Janta Party
469,,2,Pawan Kumar Bansal,"121,720",26.8%,Indian National Congress
470,,3,Gulkirat Kaur Panag,"108,679",24.0%,Aam Aadmi Party
471,,,,,,
472,Chandni Chowk,1,Dr. Harsh Vardhan,"437,938",44.6%,Bharatiya Janta Party
473,,2,Ashutosh,"301,618",30.7%,Aam Aadmi Party
474,,3,Kapil Sibal,"176,206",17.9%,Indian National Congress
475,,,,,,
476,Chandrapur,1,Ahir Hansraj Gangaram,"508,049",45.8%,Bharatiya Janta Party
477,,2,Deotale Sanjay Wamanrao,"271,780",24.5%,Indian National Congress
478,,3,Chatap Wamanrao Sadashiv,"204,413",18.4%,Aam Aadmi Party
479,,,,,,
480,Chatra,1,Sunil Kumar Singh,"295,862",41.5%,Bharatiya Janta Party
481,,2,Dhiraj Prasad Sahu,"117,836",16.5%,Indian National Congress
482,,3,Nilam Devi,"104,176",14.6%,Jharkhand Vikas Morcha (Prajatantrik)
483,,,,,,
484,Chelvella,1,Konda Vishweshwar Reddy,"435,077",33.1%,Telangana Rashtra Samithi
485,,2,Patlolla Kartik Reddy,"362,054",27.5%,Indian National Congress
486,,3,Tulla Veerender,"353,203",26.8%,Telugu Desam
487,,,,,,
488,Chennai Central,1,S.R. Vijayakumar,"333,296",40.9%,All India Anna Dravida Munnetra Kazhagam
489,,2,Dayanidhi Maran,"287,455",35.3%,Dravida Munetra Kazhagam
490,,3,J. Constandine Ravindran,"114,798",14.1%,Desiya Murpokku Dravida Kazhagam
491,,,,,,
492,Chennai North,1,Venkatesh Babu .T.G,"406,704",44.7%,All India Anna Dravida Munnetra Kazhagam
493,,2,Girirajan .R,"307,000",33.7%,Dravida Munetra Kazhagam
494,,3,Soundarapandian .M,"86,989",9.6%,Desiya Murpokku Dravida Kazhagam
495,,,,,,
496,Chennai South,1,Dr. J. Jayavardhan,"438,404",40.5%,All India Anna Dravida Munnetra Kazhagam
497,,2,T.K.S.Elangovan,"301,779",27.9%,Dravida Munetra Kazhagam
498,,3,La.Ganesan,"256,786",23.8%,Bharatiya Janta Party
499,,,,,,
500,Chhindwara,1,Kamal Nath,"559,755",50.5%,Indian National Congress
501,,2,Choudhary Chandrabhan Kuber Singh,"443,218",40.0%,Bharatiya Janta Party
502,,3,Pardeshi Hartapshah Tirgam,"25,628",2.3%,Gondvana Gantantra Party
503,,,,,,
504,Chhota Udaipur,1,Ramsinh Rathwa,"607,916",55.2%,Bharatiya Janta Party
505,,2,Naranbhai Jemalabhai Rathva,"428,187",38.9%,Indian National Congress
506,,3,Prof. Arjunbhai Versingbhai Rathva,"23,116",2.1%,Aam Aadmi Party
507,,,,,,
508,Chidambaram,1,"Chandrakasi, M","429,536",39.5%,All India Anna Dravida Munnetra Kazhagam
509,,2,"Thirumaavalavan, Thol","301,041",27.7%,Viduthalai Chiruthaigal Katchi
510,,3,Sudhamanirathinem,"279,016",25.6%,Pattali Makkal Katchi
511,,,,,,
512,Chikballapur,1,M Veerappa Moily,"424,800",33.6%,Indian National Congress
513,,2,B N Bache Gowda,"415,280",32.9%,Bharatiya Janta Party
514,,3,H D Kumara Swamy,"346,339",27.4%,Janata Dal (Secular)
515,,,,,,
516,Chikkodi,1,Prakash Babanna Hukkeri,"474,373",44.3%,Indian National Congress
517,,2,Katti Ramesh Vishwanath,"471,370",44.0%,Bharatiya Janta Party
518,,3,Prataparao Patil,"42,738",4.0%,Nationalist Congress Party
519,,,,,,
520,Chitradurga,1,B.N.Chandrappa,"467,511",42.6%,Indian National Congress
521,,2,Janardhana Swamy,"366,220",33.4%,Bharatiya Janta Party
522,,3,Gullihatty.D.Shekhar,"202,108",18.4%,Janata Dal (Secular)
523,,,,,,
524,Chittoor,1,Naramalli Sivaprasad,"594,862",49.6%,Telugu Desam
525,,2,G.Samanyakiran,"550,724",45.9%,Yuvajana Sramika Rythu Congress Party
526,,3,Dr.B.Rajagopal,"16,572",1.4%,Indian National Congress
527,,,,,,
528,Chittorgarh,1,Chandra Prakash Joshi,"703,236",60.0%,Bharatiya Janta Party
529,,2,Girija Vyas,"386,379",32.9%,Indian National Congress
530,,3,Radha Devi,"21,593",1.8%,Communist Party Of India
531,,,,,,
532,Churu,1,Rahul Kaswan,"595,756",52.7%,Bharatiya Janta Party
533,,2,Abhinesh Maharshi,"301,017",26.6%,Bahujan Samaj Party
534,,3,Pratap Singh,"176,912",15.6%,Indian National Congress
535,,,,,,
536,Coimbatore,1,"Nagarajan, P.","431,717",36.7%,All India Anna Dravida Munnetra Kazhagam
537,,2,"Radhakrishnan, C.P.","389,701",33.1%,Bharatiya Janta Party
538,,3,"Ganeshkumar, K.","217,083",18.4%,Dravida Munetra Kazhagam
539,,,,,,
540,Cooch Behar,1,Renuka Sinha,"526,499",39.5%,All India Trinamool Congress
541,,2,Dipak Kumar Roy,"439,392",33.0%,All India Forward Bloc
542,,3,Hem Chandra Barman,"217,653",16.3%,Bharatiya Janta Party
543,,,,,,
544,Cuddalore,1,Arunmozhithevan.A,"481,429",48.9%,All India Anna Dravida Munnetra Kazhagam
545,,2,Nandagopalakrishnan.K.,"278,304",28.3%,Dravida Munetra Kazhagam
546,,3,Jayasankar.C.R,"147,606",15.0%,Desiya Murpokku Dravida Kazhagam
547,,,,,,
548,Cuttack,1,Bhartruhari Mahatab,"526,085",53.8%,Biju Janata Dal
549,,2,Aparajita Mohanty,"219,323",22.4%,Indian National Congress
550,,3,Samir Dey,"146,093",14.9%,Bharatiya Janta Party
551,,,,,,
552,Dadra And Nagar Haveli,1,Patel Natubhai Gomanbhai,"80,790",48.9%,Bharatiya Janta Party
553,,2,Delkar Mohanbhai Sanjibhai,"74,576",45.1%,Indian National Congress
554,,3,Khulat Janiyabhai Chandubhai,"1,611",1.0%,Nationalist Congress Party
555,,,,,,
556,Dahod,1,Jasvantsinh Sumanbhai Bhabhor,"511,111",56.8%,Bharatiya Janta Party
557,,2,Taviyad Dr. Prabhaben Kishorsinh,"280,757",31.2%,Indian National Congress
558,,3,Katara Singajibhai Jaljibhai,"28,958",3.2%,Communist Party Of India (MARXIST)
559,,,,,,
560,Dakshina Kannada,1,Nalin Kumar Kateel,"642,739",53.2%,Bharatiya Janta Party
561,,2,Janardhana Poojary,"499,030",41.3%,Indian National Congress
562,,3,Haneef Khan Kodaje,"27,254",2.3%,Social Democratic Party Of India
563,,,,,,
564,Daman And Diu,1,Patel Lalubhai Babubhai,"46,960",53.8%,Bharatiya Janta Party
565,,2,Ketan Dahyabhai Patel,"37,738",43.3%,Indian National Congress
566,,3,Kessur Goan,729,0.8%,Aam Aadmi Party
567,,,,,,
568,Damoh,1,Prahalad Singh Patel,"513,079",56.3%,Bharatiya Janta Party
569,,2,Choudhary Mahendra Pratap Singh,"299,780",32.9%,Indian National Congress
570,,3,Devendra Chaourasia,"31,519",3.5%,Bahujan Samaj Party
571,,,,,,
572,Darbhanga,1,Kirti Azad,"314,949",38.0%,Bharatiya Janta Party
573,,2,Md. Ali Ashraf Fatmi,"279,906",33.8%,Rashtriya Janata Dal
574,,3,Sanjay Kumar Jha,"104,494",12.6%,Janata Dal (United)
575,,,,,,
576,Darjeeling,1,S.S.Ahluwalia,"488,257",42.8%,Bharatiya Janta Party
577,,2,Bhai Chung Bhutia,"291,018",25.5%,All India Trinamool Congress
578,,3,Saman Pathak (SURAJ),"167,186",14.6%,Communist Party Of India (MARXIST)
579,,,,,,
580,Dausa,1,Harish Chandra Meena,"315,059",33.9%,Bharatiya Janta Party
581,,2,Dr. Kirodi Lal,"269,655",29.0%,National People's Party
582,,3,Namonarain Meena,"181,272",19.5%,Indian National Congress
583,,,,,,
584,Davanagere,1,G M Siddeshwara,"518,894",46.5%,Bharatiya Janta Party
585,,2,S.S. Mallikarjun,"501,287",45.0%,Indian National Congress
586,,3,Mahima J Patel,"46,911",4.2%,Janata Dal (Secular)
587,,,,,,
588,Deoria,1,Kalraj Mishra,"496,500",51.1%,Bharatiya Janta Party
589,,2,Niyaj Ahmad,"231,114",23.8%,Bahujan Samaj Party
590,,3,Baleshwar Yadav,"150,852",15.5%,Samajwadi Party
591,,,,,,
592,Dewas,1,Manohar Untwal,"665,646",58.2%,Bharatiya Janta Party
593,,2,Sajjan Singh Verma,"405,333",35.4%,Indian National Congress
594,,3,Gokul Prasad Dongare,"17,238",1.5%,Bahujan Samaj Party
595,,,,,,
596,Dhanbad,1,Pashupati Nath Singh,"543,491",47.5%,Bharatiya Janta Party
597,,2,Ajay Kumar Dubey,"250,537",21.9%,Indian National Congress
598,,3,Anand Mahato,"110,185",9.6%,Marxist Co-Ordination
599,,,,,,
600,Dhar,1,Savitri Thakur,"558,387",51.9%,Bharatiya Janta Party
601,,2,Umang Singhar,"454,059",42.2%,Indian National Congress
602,,3,Ajay Rawat,"14,666",1.4%,Bahujan Samaj Party
603,,,,,,
604,Dharmapuri,1,Anbumani Ramadoss,"468,194",42.5%,Pattali Makkal Katchi
605,,2,Mohan.P.S,"391,048",35.5%,All India Anna Dravida Munnetra Kazhagam
606,,3,Thamaraiselvan.R,"180,297",16.4%,Dravida Munetra Kazhagam
607,,,,,,
608,Dharwad,1,Pralhad Joshi,"545,395",52.4%,Bharatiya Janta Party
609,,2,Vinay Kulkarni,"431,738",41.5%,Indian National Congress
610,,3,Bankapur. Hanumanthappa Mallappa,"8,836",0.8%,Janata Dal (Secular)
611,,,,,,
612,Dhaurahra,1,Rekha,"360,357",34.0%,Bharatiya Janta Party
613,,2,Daud Ahmad,"234,682",22.1%,Bahujan Samaj Party
614,,3,Anand Bhadauriya,"234,032",22.1%,Samajwadi Party
615,,,,,,
616,Dhenkanal,1,Tathagata Satpathy,"453,277",43.5%,Biju Janata Dal
617,,2,Rudra Narayan Pany,"315,937",30.3%,Bharatiya Janta Party
618,,3,Sudhir Kumar Samal,"213,794",20.5%,Indian National Congress
619,,,,,,
620,Dhubri,1,Badruddin Ajmal,"592,569",43.3%,All India United Democratic Front
621,,2,Wazed Ali Choudhury,"362,839",26.5%,Indian National Congress
622,,3,Dr. Debamoy Sanyal,"298,985",21.8%,Bharatiya Janta Party
623,,,,,,
624,Dhule,1,Dr. Bhamre Subhash Ramrao,"529,450",53.9%,Bharatiya Janta Party
625,,2,Amrishbhai Rasiklal Patel,"398,727",40.6%,Indian National Congress
626,,3,Ishi Yogesh Yashwant,"9,897",1.0%,Bahujan Samaj Party
627,,,,,,
628,Diamond Harbour,1,Abhishek Banerjee,"508,481",40.3%,All India Trinamool Congress
629,,2,Dr. Abul Hasnat,"437,183",34.7%,Communist Party Of India (MARXIST)
630,,3,Abhijit Das (BOBBY),"200,858",15.9%,Bharatiya Janta Party
631,,,,,,
632,Dibrugarh,1,Rameswar Teli,"494,364",55.5%,Bharatiya Janta Party
633,,2,Paban Singh Ghatowar,"309,017",34.7%,Indian National Congress
634,,3,Anup Phukon,"45,710",5.1%,Asom Gana Parisad
635,,,,,,
636,Dindigul,1,Udhaya Kumar .M,"510,462",47.1%,All India Anna Dravida Munnetra Kazhagam
637,,2,Gandhirajan S,"382,617",35.3%,Dravida Munetra Kazhagam
638,,3,Krishnamoorthy A,"93,794",8.7%,Desiya Murpokku Dravida Kazhagam
639,,,,,,
640,Dindori,1,Chavan Harishchandra Deoram,"542,784",55.9%,Bharatiya Janta Party
641,,2,Dr. Bharati Pravin Pawar,"295,165",30.4%,Nationalist Congress Party
642,,3,Com. Hemant Motiram Waghere,"72,599",7.5%,Communist Party Of India (MARXIST)
643,,,,,,
644,Domariyaganj,1,Jagdambika Pal,"298,845",32.0%,Bharatiya Janta Party
645,,2,Muhammad Muqeem,"195,257",20.9%,Bahujan Samaj Party
646,,3,Mata Prasad Pandey,"174,778",18.7%,Samajwadi Party
647,,,,,,
648,Dum Dum,1,Saugata Roy,"483,244",42.7%,All India Trinamool Congress
649,,2,Asim Kumar Dasgupta,"328,310",29.0%,Communist Party Of India (MARXIST)
650,,3,Tapan Sikdar,"254,819",22.5%,Bharatiya Janta Party
651,,,,,,
652,Dumka,1,Shibu Soren,"335,815",37.2%,Jharkhand Mukti Morcha
653,,2,Sunil Soren,"296,785",32.9%,Bharatiya Janta Party
654,,3,Babu Lal Marandi,"158,122",17.5%,Jharkhand Vikas Morcha (Prajatantrik)
655,,,,,,
656,Durg,1,Tamradhwaj Sahu,"570,687",45.4%,Indian National Congress
657,,2,Saroj Pandey,"553,839",44.0%,Bharatiya Janta Party
658,,3,Vishwa Ratna Sinha,"17,454",1.4%,Aam Aadmi Party
659,,,,,,
660,East Delhi,1,Maheish Girri,"572,202",47.8%,Bharatiya Janta Party
661,,2,Rajmohan Gandhi,"381,739",31.9%,Aam Aadmi Party
662,,3,Sandeep Dikshit,"203,240",17.0%,Indian National Congress
663,,,,,,
664,Eluru,1,Maganti Venkateswara Rao (BABU),"623,471",51.9%,Telugu Desam
665,,2,Thota Chandra Sekhar,"521,545",43.4%,Yuvajana Sramika Rythu Congress Party
666,,3,Musunuri Nageswara Rao,"11,770",1.0%,Indian National Congress
667,,,,,,
668,Ernakulam,1,Prof. K.V. Thomas,"353,841",41.6%,Indian National Congress
669,,2,Christy Fernandez,"266,794",31.4%,Independent
670,,3,A.N. Radhakrishnan,"99,003",11.6%,Bharatiya Janta Party
671,,,,,,
672,Erode,1,Selvakumara Chinnayan S,"466,995",46.3%,All India Anna Dravida Munnetra Kazhagam
673,,2,Ganeshamurthi.A,"255,432",25.3%,Marumalarchi Dravida Munnetra Kazhagam
674,,3,Pavithravalli H,"217,260",21.5%,Dravida Munetra Kazhagam
675,,,,,,
676,Etah,1,Rajveer Singh (RAJU BHAIYA),"474,978",51.3%,Bharatiya Janta Party
677,,2,Ku. Devendra Singh Yadav,"273,977",29.6%,Samajwadi Party
678,,3,Noor Mohammad Khan,"137,127",14.8%,Bahujan Samaj Party
679,,,,,,
680,Etawah,1,Ashok Kumar Doharey,"439,646",46.8%,Bharatiya Janta Party
681,,2,Premdas Kateriya,"266,700",28.4%,Samajwadi Party
682,,3,Ajay Pal Singh Jatav,"192,804",20.5%,Bahujan Samaj Party
683,,,,,,
684,Faizabad,1,Lallu Singh,"491,761",48.1%,Bharatiya Janta Party
685,,2,Mitrasen Yadav,"208,986",20.4%,Samajwadi Party
686,,3,Jitendra Kumar Singh (BABLU BHAIYA),"141,827",13.9%,Bahujan Samaj Party
687,,,,,,
688,Faridabad,1,Krishan Pal,"652,516",57.7%,Bharatiya Janta Party
689,,2,Avtar Singh Bhadana,"185,643",16.4%,Indian National Congress
690,,3,R K Anand,"132,472",11.7%,Indian National Lok Dal
691,,,,,,
692,Faridkot,1,Prof. Sadhu Singh,"450,751",43.7%,Aam Aadmi Party
693,,2,Paramjit Kaur Gulshan,"278,235",27.0%,Shiromani Akali Dal
694,,3,Joginder Singh,"251,222",24.3%,Indian National Congress
695,,,,,,
696,Farrukhabad,1,Mukesh Rajput,"406,195",41.8%,Bharatiya Janta Party
697,,2,Rameshwar Singh Yadav,"255,693",26.3%,Samajwadi Party
698,,3,Jaiveer Singh,"114,521",11.8%,Bahujan Samaj Party
699,,,,,,
700,Fatehgarh Sahib,1,Harinder Singh Khalsa,"367,293",35.6%,Aam Aadmi Party
701,,2,Sadhu Singh,"313,149",30.4%,Indian National Congress
702,,3,Kulwant Singh,"312,815",30.3%,Shiromani Akali Dal
703,,,,,,
704,Fatehpur,1,Niranjan Jyoti,"485,994",46.0%,Bharatiya Janta Party
705,,2,Afzal Siddiqui,"298,788",28.3%,Bahujan Samaj Party
706,,3,Rakesh Sachan,"179,724",17.0%,Samajwadi Party
707,,,,,,
708,Fatehpur Sikri,1,Babulal,"426,589",44.1%,Bharatiya Janta Party
709,,2,Seema Upadhyay,"253,483",26.2%,Bahujan Samaj Party
710,,3,Rani Pakshalika Singh,"213,397",22.0%,Samajwadi Party
711,,,,,,
712,Ferozpur,1,Sher Singh Ghubaya,"487,932",44.1%,Shiromani Akali Dal
713,,2,Sunil Jakhar,"456,512",41.3%,Indian National Congress
714,,3,Satnam Paul Kamboj,"113,412",10.3%,Aam Aadmi Party
715,,,,,,
716,Firozabad,1,Akshay Yadav,"534,583",48.4%,Samajwadi Party
717,,2,Prof. S.P. Singh Baghel,"420,524",38.1%,Bharatiya Janta Party
718,,3,Th. Vishwadeep Singh,"118,909",10.8%,Bahujan Samaj Party
719,,,,,,
720,Gadchiroli-Chimur,1,Ashok Mahadeorao Nete,"535,982",52.2%,Bharatiya Janta Party
721,,2,Dr. Namdeo Dalluji Usendi,"299,112",29.1%,Indian National Congress
722,,3,Ramrao Govinda Nannaware,"66,906",6.5%,Bahujan Samaj Party
723,,,,,,
724,Gandhinagar,1,L.K.Advani,"773,539",68.1%,Bharatiya Janta Party
725,,2,Kiritbhai Ishvarbhai Patel,"290,418",25.6%,Indian National Congress
726,,3,Rituraj Mehta,"19,966",1.8%,Aam Aadmi Party
727,,,,,,
728,Ganganagar,1,Nihalchand,"658,130",52.4%,Bharatiya Janta Party
729,,2,Master Bhanwarlal Meghwal,"366,389",29.2%,Indian National Congress
730,,3,Shimla Devi Nayak (ADVOCATE),"106,585",8.5%,National Unionist Zamindara Party
731,,,,,,
732,Garhwal,1,(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM),"405,690",59.5%,Bharatiya Janta Party
733,,2,(DR) HARAK SINGH RAWAT,"221,164",32.4%,Indian National Congress
734,,3,Dheer Singh Bisht,"9,250",1.4%,Bahujan Samaj Party
735,,,,,,
736,Gauhati,1,Bijoya Chakravarty,"764,985",50.6%,Bharatiya Janta Party
737,,2,Manash Borah,"449,201",29.7%,Indian National Congress
738,,3,Gopi Nath Das,"137,254",9.1%,All India United Democratic Front
739,,,,,,
740,Gautam Buddh Nagar,1,Dr.Mahesh Sharma,"599,702",50.0%,Bharatiya Janta Party
741,,2,Narendra Bhati,"319,490",26.6%,Samajwadi Party
742,,3,Satish Kumar,"198,237",16.5%,Bahujan Samaj Party
743,,,,,,
744,Gaya,1,Hari Manjhi,"326,230",40.3%,Bharatiya Janta Party
745,,2,Ramji Manjhi,"210,726",26.0%,Rashtriya Janata Dal
746,,3,Jitan Ram Manjhi,"131,828",16.3%,Janata Dal (United)
747,,,,,,
748,Ghatal,1,Adhikari Deepak (DEV),"685,696",50.2%,All India Trinamool Congress
749,,2,Santosh Rana,"424,805",31.1%,Communist Party Of India
750,,3,Manas Ranjan Bhunia,"122,928",9.0%,Indian National Congress
751,,,,,,
752,Ghaziabad,1,Vijay Kumar Singh,"758,482",56.5%,Bharatiya Janta Party
753,,2,Raj Babbar,"191,222",14.2%,Indian National Congress
754,,3,Mukul,"173,085",12.9%,Bahujan Samaj Party
755,,,,,,
756,Ghazipur,1,Manoj Sinha,"306,929",31.1%,Bharatiya Janta Party
757,,2,Smt Shivkanya Kushwaha,"274,477",27.8%,Samajwadi Party
758,,3,Kailash Nath Singh Yadav,"241,645",24.5%,Bahujan Samaj Party
759,,,,,,
760,Ghosi,1,Harinarayan Rajbhar,"379,797",36.5%,Bharatiya Janta Party
761,,2,Dara Singh Chauhan,"233,782",22.5%,Bahujan Samaj Party
762,,3,Mokhtar Ansari,"166,443",16.0%,Quami Ekta Dal
763,,,,,,
764,Giridih,1,Ravindra Kumar Pandey,"391,913",40.4%,Bharatiya Janta Party
765,,2,Jagarnath Mahto,"351,600",36.2%,Jharkhand Mukti Morcha
766,,3,Saba Ahmad,"57,380",5.9%,Jharkhand Vikas Morcha (Prajatantrik)
767,,,,,,
768,Godda,1,Nishikant Dubey,"380,500",36.3%,Bharatiya Janta Party
769,,2,Furkan Ansari,"319,818",30.5%,Indian National Congress
770,,3,Pradip Yadav,"193,506",18.4%,Jharkhand Vikas Morcha (Prajatantrik)
771,,,,,,
772,Gonda,1,Kirti Vardhan Singh,"359,643",41.2%,Bharatiya Janta Party
773,,2,Nandita Shukla,"199,227",22.8%,Samajwadi Party
774,,3,Akbar Ahmad Dumpy,"116,178",13.3%,Bahujan Samaj Party
775,,,,,,
776,Gopalganj,1,Janak Ram,"478,773",53.0%,Bharatiya Janta Party
777,,2,Dr. Jyoti Bharti,"191,837",21.2%,Indian National Congress
778,,3,Anil Kumar,"100,419",11.1%,Janata Dal (United)
779,,,,,,
780,Gorakhpur,1,Adityanath,"539,127",51.8%,Bharatiya Janta Party
781,,2,Rajmati Nishad,"226,344",21.8%,Samajwadi Party
782,,3,Ram Bhual Nishad,"176,412",17.0%,Bahujan Samaj Party
783,,,,,,
784,Gulbarga,1,Mallikarjun Kharge,"507,193",50.8%,Indian National Congress
785,,2,Revunaik Belamagi,"432,460",43.3%,Bharatiya Janta Party
786,,3,D.G. Sagar,"15,690",1.6%,Janata Dal (Secular)
787,,,,,,
788,Guna,1,Jyotiraditya M Scindia,"517,036",52.9%,Indian National Congress
789,,2,Jaibhansingh Pawaiya,"396,244",40.6%,Bharatiya Janta Party
790,,3,Lakhan Singh Baghel,"27,412",2.8%,Bahujan Samaj Party
791,,,,,,
792,Guntur,1,Jayadev Galla,"618,417",49.7%,Telugu Desam
793,,2,Balashowry Vallabhaneni,"549,306",44.1%,Yuvajana Sramika Rythu Congress Party
794,,3,Abdul Waheed Shaik,"46,818",3.8%,Indian National Congress
795,,,,,,
796,Gurdaspur,1,Vinod Khanna,"482,255",46.3%,Bharatiya Janta Party
797,,2,Partap Singh Bajwa,"346,190",33.2%,Indian National Congress
798,,3,Sucha Singh Chhotepur,"173,376",16.6%,Aam Aadmi Party
799,,,,,,
800,Gurgaon,1,Inderjit Singh Rao,"644,780",48.8%,Bharatiya Janta Party
801,,2,Zakir Hussain,"370,058",28.0%,Indian National Lok Dal
802,,3,Rao Dharam Pal,"133,713",10.1%,Indian National Congress
803,,,,,,
804,Gwalior,1,Narendra Singh Tomar,"442,796",44.7%,Bharatiya Janta Party
805,,2,Ashok Singh,"413,097",41.7%,Indian National Congress
806,,3,Alok Sharma,"68,196",6.9%,Bahujan Samaj Party
807,,,,,,
808,Hajipur,1,Ramvilas Paswan,"455,652",50.4%,Lok Jan Shakti Party
809,,2,Sanjeev Prasad Toni,"230,152",25.4%,Indian National Congress
810,,3,Ram Sundar Das,"95,790",10.6%,Janata Dal (United)
811,,,,,,
812,Hamirpur,1,Anurag Singh Thakur,"448,035",53.6%,Bharatiya Janta Party
813,,2,Rajinder Singh Rana,"349,632",41.9%,Indian National Congress
814,,3,Kamal Kanta Batra,"15,329",1.8%,Aam Aadmi Party
815,,,,,,
816,Hamirpur,1,Kunwar Pushpendra Singh Chandel,"453,884",46.5%,Bharatiya Janta Party
817,,2,Bishambhar Prasad Nishad,"187,096",19.2%,Samajwadi Party
818,,3,Rakesh Kumar Goswami,"176,356",18.1%,Bahujan Samaj Party
819,,,,,,
820,Hardoi,1,Anshul Verma,"360,501",37.1%,Bharatiya Janta Party
821,,2,Shive Prasad Verma,"279,158",28.7%,Bahujan Samaj Party
822,,3,Usha Verma,"276,543",28.4%,Samajwadi Party
823,,,,,,
824,Hardwar,1,Ramesh Pokhriyal Nishank,"592,320",50.4%,Bharatiya Janta Party
825,,2,Renuka Rawat,"414,498",35.3%,Indian National Congress
826,,3,Haji Mohd Islam,"113,663",9.7%,Bahujan Samaj Party
827,,,,,,
828,Hassan,1,H.D. Devegowda,"509,841",44.4%,Janata Dal (Secular)
829,,2,Manju. A.,"409,379",35.7%,Indian National Congress
830,,3,C.H. Vijayashankar,"165,688",14.4%,Bharatiya Janta Party
831,,,,,,
832,Hathras,1,Rajesh Kumar Diwaker,"544,277",51.9%,Bharatiya Janta Party
833,,2,Manoj Kumar Soni,"217,891",20.8%,Bahujan Samaj Party
834,,3,Ramji Lal Suman,"180,891",17.2%,Samajwadi Party
835,,,,,,
836,Hatkanangle,1,Raju Shetty,"640,428",53.9%,Swabhimani Paksha
837,,2,Awade Kallappa Baburao,"462,618",38.9%,Indian National Congress
838,,3,Sureshdada Patil,"25,648",2.2%,Independent
839,,,,,,
840,Haveri,1,Udasi Shivakumar Channabasappa,"566,790",50.8%,Bharatiya Janta Party
841,,2,Saleem Ahmed,"479,219",42.9%,Indian National Congress
842,,3,Shiddappa Kallappa Poojar,"15,656",1.4%,Independent
843,,,,,,
844,Hazaribagh,1,Jayant Sinha,"406,931",42.1%,Bharatiya Janta Party
845,,2,Saurabh Narain Singh,"247,803",25.6%,Indian National Congress
846,,3,Loknath Mahto,"156,186",16.1%,Ajsu Party
847,,,,,,
848,Hindupur,1,Kristappa Nimmala,"604,291",51.3%,Telugu Desam
849,,2,Duddukunta Sreedhar Reddy,"506,966",43.1%,Yuvajana Sramika Rythu Congress Party
850,,3,G.C Venkataramudu,"36,452",3.1%,Indian National Congress
851,,,,,,
852,Hingoli,1,Rajeev Shankarrao Satav,"467,397",44.5%,Indian National Congress
853,,2,Wankhede Subhash Bapurao,"465,765",44.3%,Shiv Sena
854,,3,Jadhav Chunnilal Mohan,"25,145",2.4%,Bahujan Samaj Party
855,,,,,,
856,Hisar,1,Dushyant Chautala,"494,478",42.8%,Indian National Lok Dal
857,,2,Kuldeep Bishnoi,"462,631",40.0%,Haryana Janhit Congress (BL)
858,,3,Sampat Singh,"102,509",8.9%,Indian National Congress
859,,,,,,
