,Place,Rank,Name,No.of votes,Percentage of votes,Party
438,,3,Arjun Saha,"70,084",6.5%,Bharatiya Janta Party
439,,,,,,
440,Bulandshahr,1,Kamlesh,"236,257",35.3%,Samajwadi Party
441,,2,Ashok Kumar Pradhan,"170,192",25.5%,Bharatiya Janta Party
442,,3,Raj Kumar Gautam,"142,186",21.3%,Bahujan Samaj Party
443,,,,,,
444,Buldhana,1,Jadhav Prataprao Ganpatrao,"353,671",41.4%,Shiv Sena
445,,2,Shingane Dr.Rajendra Bhaskarrao,"325,593",38.1%,Nationalist Congress Party
446,,3,Dandge Vasantrao Sugdeo,"81,763",9.6%,Bahujan Samaj Party
447,,,,,,
448,Burdwan - Durgapur,1,Sk. Saidul Haque,"573,399",50.5%,Communist Party Of India (MARXIST)
449,,2,Nargis Begum,"465,162",40.9%,Indian National Congress
450,,3,Syed Ali Afzal Chand,"50,081",4.4%,Bharatiya Janta Party
451,,,,,,
452,Buxar,1,Jagada Nand Singh,"132,614",21.3%,Rashtriya Janata Dal
453,,2,Lal Muni Choubey,"130,376",20.9%,Bharatiya Janta Party
454,,3,Shyam Lal Singh Kushwaha,"127,145",20.4%,Bahujan Samaj Party
455,,,,,,
456,Chalakudy,1,K.P. Dhanapalan,"399,035",50.2%,Indian National Congress
457,,2,Adv. U.P Joseph,"327,356",41.2%,Communist Party Of India (MARXIST)
458,,3,Adv.K.V. Sabu,"45,367",5.7%,Bharatiya Janta Party
459,,,,,,
460,Chamarajanagar,1,R.Dhruvanarayana,"369,970",38.0%,Indian National Congress
461,,2,A.R.Krishnamurthy,"365,968",37.6%,Bharatiya Janta Party
462,,3,M.Shivanna(Kote),"106,876",11.0%,Janata Dal (Secular)
463,,,,,,
464,Chandauli,1,Ramkishun,"180,114",26.8%,Samajwadi Party
465,,2,Kailash Nath Singh Yadav,"179,655",26.8%,Bahujan Samaj Party
466,,3,Shailendra Kumar,"97,377",14.5%,Indian National Congress
467,,,,,,
468,Chandigarh,1,Pawan Kumar Bansal,"161,042",46.9%,Indian National Congress
469,,2,Satya Pal Jain,"102,075",29.7%,Bharatiya Janta Party
470,,3,Harmohan Dhawan,"61,434",17.9%,Bahujan Samaj Party
471,,,,,,
472,Chandni Chowk,1,Kapil Sibal,"465,713",59.7%,Indian National Congress
473,,2,Vijender Gupta,"265,003",34.0%,Bharatiya Janta Party
474,,3,Mohd. Mustaqeem (Ballo Bhai),"26,486",3.4%,Bahujan Samaj Party
475,,,,,,
476,Chandrapur,1,Ahir Hansaraj Gangaram,"301,467",33.6%,Bharatiya Janta Party
477,,2,Pugalia Naresh,"268,972",29.9%,Indian National Congress
478,,3,Chatap Waman Sadashivrao,"169,112",18.8%,Swatantra Bharat Paksha
479,,,,,,
480,Chatra,1,Inder Singh Namdhari,"108,336",22.9%,Independent
481,,2,Dhiraj Prasad Sahu,"92,158",19.4%,Indian National Congress
482,,3,Nagmani,"68,764",14.5%,Rashtriya Janata Dal
483,,,,,,
484,Chelvella,1,Jaipal Reddy Sudini,"420,807",38.8%,Indian National Congress
485,,2,A.P.Jithender Reddy,"402,275",37.1%,Telugu Desam
486,,3,Baddam Bal Reddy,"112,701",10.4%,Bharatiya Janta Party
487,,,,,,
488,Chennai Central,1,Dayanidhi Maran,"285,783",46.8%,Dravida Munetra Kazhagam
489,,2,Mogamed Ali Jinnah S.M.K.,"252,329",41.3%,All India Anna Dravida Munnetra Kazhagam
490,,3,Ramakrishnan.V.V,"38,959",6.4%,Desiya Murpokku Dravida Kazhagam
491,,,,,,
492,Chennai North,1,Elangovan T.K.S,"281,055",42.6%,Dravida Munetra Kazhagam
493,,2,Pandian. D,"261,902",39.7%,Communist Party Of India
494,,3,Yuvaraj. V,"66,375",10.1%,Desiya Murpokku Dravida Kazhagam
495,,,,,,
496,Chennai South,1,Rajendran C,"308,567",42.4%,All India Anna Dravida Munnetra Kazhagam
497,,2,Bharathy R.S.,"275,632",37.9%,Dravida Munetra Kazhagam
498,,3,Gopinath V,"67,291",9.2%,Desiya Murpokku Dravida Kazhagam
499,,,,,,
500,Chhindwara,1,Kamal Nath,"409,736",49.4%,Indian National Congress
501,,2,Marot Rao Khavase,"288,516",34.8%,Bharatiya Janta Party
502,,3,Manmohan Shah Batti,"27,414",3.3%,Independent
503,,,,,,
504,Chhota Udaipur,1,Rathwa Ramsingbhai Patalbhai,"353,534",46.2%,Bharatiya Janta Party
505,,2,Rathwa Naranbhai Jemalabhai,"326,536",42.7%,Indian National Congress
506,,3,Bhil Prakashbhai Somabhai,"43,970",5.7%,Bahujan Samaj Party
507,,,,,,
508,Chidambaram,1,"Thirumaavalavan, Thol","428,804",49.3%,Viduthalai Chiruthaigal Katchi
509,,2,"Ponnuswamy,e","329,721",37.9%,Pattali Makkal Katchi
510,,3,"Sasikumar, S","66,283",7.6%,Desiya Murpokku Dravida Kazhagam
511,,,,,,
512,Chikkballapur,1,M.Veerappa Moily,"390,500",39.9%,Indian National Congress
513,,2,C.Aswathanarayana,"339,119",34.6%,Bharatiya Janta Party
514,,3,C.R.Manohar,"186,075",19.0%,Janata Dal (Secular)
515,,,,,,
516,Chikkodi,1,Katti Ramesh Vishwanath,"438,081",50.5%,Bharatiya Janta Party
517,,2,Prakash Babanna Hukkeri,"382,794",44.1%,Indian National Congress
518,,3,Shivanand Wantamuri Siddamallappa,"19,762",2.3%,Bahujan Samaj Party
519,,,,,,
520,Chitradurga,1,Janardhana Swamy,"370,920",44.3%,Bharatiya Janta Party
521,,2,Dr. B Thippeswamy,"235,349",28.1%,Indian National Congress
522,,3,M Rathnakar,"146,128",17.5%,Janata Dal (Secular)
523,,,,,,
524,Chittoor,1,Naramalli Sivaprasad,"434,376",41.6%,Telugu Desam
525,,2,Thippeswamy M,"423,717",40.5%,Indian National Congress
526,,3,Talari Manohar,"143,898",13.8%,Praja Rajyam Party
527,,,,,,
528,Chittorgarh,1,(Dr.)Girija Vyas,"399,663",50.3%,Indian National Congress
529,,2,Shrichand Kriplani,"326,885",41.1%,Bharatiya Janta Party
530,,3,Radha Devi Bhandari,"19,594",2.5%,Communist Party Of India
531,,,,,,
532,Churu,1,Ram Singh Kaswan,"376,708",46.9%,Bharatiya Janta Party
533,,2,Rafique Mandelia,"364,268",45.4%,Indian National Congress
534,,3,Budh Ram Saini,"25,690",3.2%,Bahujan Samaj Party
535,,,,,,
536,Coimbatore,1,Natarajan.P.R.,"293,165",35.5%,Communist Party Of India (MARXIST)
537,,2,Prabhu.R,"254,501",30.8%,Indian National Congress
538,,3,Eswaran.E.R,"128,070",15.5%,Kongu Nadu Munnetra Kazhagam
539,,,,,,
540,Cooch Behar,1,Nripendra Nath Roy,"500,677",44.6%,All India Forward Bloc
541,,2,Arghya Roy Pradhan,"466,928",41.6%,All India Trinamool Congress
542,,3,Bhabendra Nath Barman,"65,325",5.8%,Bharatiya Janta Party
543,,,,,,
544,Cuddalore,1,Alagiri S,"320,473",42.7%,Indian National Congress
545,,2,Sampath M C,"296,941",39.6%,All India Anna Dravida Munnetra Kazhagam
546,,3,Dhamotharan M C,"93,172",12.4%,Desiya Murpokku Dravida Kazhagam
547,,,,,,
548,Cuttack,1,Bhartruhari Mahtab,"465,089",57.2%,Biju Janata Dal
549,,2,Bibhuti Bhusan Mishra,"228,797",28.1%,Indian National Congress
550,,3,Anadi Sahu,"75,118",9.2%,Bharatiya Janta Party
551,,,,,,
552,Dadra & Nagar Haveli,1,Patel Natubhai Gomanbhai,"51,242",46.4%,Bharatiya Janta Party
553,,2,Delkar Mohanbhai Sanjibhai,"50,624",45.9%,Indian National Congress
554,,3,Mishal Laxmanbhai Navasubhai,"5,711",5.2%,Independent
555,,,,,,
556,Dahod,1,Dr. Prabha Kishor Taviad,"250,586",46.9%,Indian National Congress
557,,2,Damor Somjibhai Punjabhai,"192,050",35.9%,Bharatiya Janta Party
558,,3,K.C.Munia Advocate,"29,700",5.6%,Samajwadi Party
559,,,,,,
560,Dakshina Kannada,1,Nalin Kumar Kateel,"499,385",49.1%,Bharatiya Janta Party
561,,2,Janardhana Poojary,"458,965",45.2%,Indian National Congress
562,,3,B.Madhava,"18,328",1.8%,Communist Party Of India (MARXIST)
563,,,,,,
564,Daman & Diu,1,Lalubhai Patel,"44,546",65.5%,Bharatiya Janta Party
565,,2,Dahyabhai Vallabhbhai Patel,"19,708",29.0%,Indian National Congress
566,,3,Tandel Gopalbhai Kalyanbhai,"2,144",3.2%,Nationalist Congress Party
567,,,,,,
568,Damoh,1,Shivraj Bhaiya,"302,673",50.5%,Bharatiya Janta Party
569,,2,Chandrabhan Bhaiya,"231,796",38.7%,Indian National Congress
570,,3,Ahir Kamla Yadav,"7,826",1.3%,Samajwadi Party
571,,,,,,
572,Darbhanga,1,Kirti Azad,"239,268",43.8%,Bharatiya Janta Party
573,,2,Md. Ali Ashraf Fatmi,"192,815",35.3%,Rashtriya Janata Dal
574,,3,Ajay Kumar Jalan,"40,724",7.5%,Indian National Congress
575,,,,,,
576,Darjeeling,1,Jaswant Singh,"497,649",51.4%,Bharatiya Janta Party
577,,2,Jibesh Sarkar,"244,360",25.3%,Communist Party Of India (MARXIST)
578,,3,Dawa Narbula,"187,809",19.4%,Indian National Congress
579,,,,,,
580,Dausa,1,Kirodi Lal,"433,666",51.5%,Independent
581,,2,Qummer Rubbani,"295,907",35.2%,Independent
582,,3,Laxman,"59,154",7.0%,Indian National Congress
583,,,,,,
584,Davanagere,1,G.M. Siddeswara,"423,447",46.7%,Bharatiya Janta Party
585,,2,S.S. Mallikarjuna,"421,423",46.4%,Indian National Congress
586,,3,K.B. Kallerudreshappa,"10,489",1.2%,Janata Dal (Secular)
587,,,,,,
588,Deoria,1,Gorakh Prasad Jaiswal,"219,889",30.7%,Bahujan Samaj Party
589,,2,Shri Prakash Mani Tripathi,"178,110",24.9%,Bharatiya Janta Party
590,,3,Mohan Singh,"151,389",21.2%,Samajwadi Party
591,,,,,,
592,Dewas,1,Sajjan Singh Verma,"376,421",47.8%,Indian National Congress
593,,2,Thavarchand Gehlot,"360,964",45.8%,Bharatiya Janta Party
594,,3,Bhagirath Parihar,"10,743",1.4%,Bahujan Samaj Party
595,,,,,,
596,Dhanbad,1,Pashupati Nath Singh,"260,521",32.0%,Bharatiya Janta Party
597,,2,Chandrashekhar Dubey,"202,474",24.9%,Indian National Congress
598,,3,Samaresh Singh,"132,445",16.3%,Bahujan Samaj Party
599,,,,,,
600,Dhar,1,Gajendra Singh Rajukhedi,"302,660",46.2%,Indian National Congress
601,,2,Mukam Singh Kirade,"299,999",45.8%,Bharatiya Janta Party
602,,3,Ajay Rawat,"16,082",2.5%,Bahujan Samaj Party
603,,,,,,
604,Dharmapuri,1,Thamaraiselvan. R,"365,812",47.0%,Dravida Munetra Kazhagam
605,,2,Senthil. R. Dr.,"229,870",29.5%,Pattali Makkal Katchi
606,,3,Elangovan. V,"103,494",13.3%,Desiya Murpokku Dravida Kazhagam
607,,,,,,
608,Dharwad,1,Pralhad Joshi,"446,786",56.0%,Bharatiya Janta Party
609,,2,Kunnur Manjunath Channappa,"309,123",38.7%,Indian National Congress
610,,3,Talakallamath Mahesh Gurupadayya,"7,176",0.9%,Nationalist Congress Party
611,,,,,,
612,Dhaurahra,1,Kunwar Jitin Prasad,"391,391",51.5%,Indian National Congress
613,,2,Rajesh Kumar Singh Alias Rajesh Verma,"206,882",27.2%,Bahujan Samaj Party
614,,3,Om Prakash,"102,898",13.5%,Samajwadi Party
615,,,,,,
616,Dhenkanal,1,Tathagata Satpathy,"398,568",46.5%,Biju Janata Dal
617,,2,Chandra Sekhar Tripathi,"211,981",24.7%,Indian National Congress
618,,3,Rudranarayan Pany,"208,296",24.3%,Bharatiya Janta Party
619,,,,,,
620,Dhubri,1,Badruddin Ajmal,"540,820",51.7%,Assam United Democratic Front
621,,2,Anwar Hussain,"356,401",34.0%,Indian National Congress
622,,3,Arun Das,"81,617",7.8%,Rashtrawadi Sena
623,,,,,,
624,Dhule,1,Sonawane Pratap Narayanrao,"263,260",39.3%,Bharatiya Janta Party
625,,2,Amarishbhai Rasiklal Patel,"243,841",36.4%,Indian National Congress
626,,3,Nihal Ahmed Molvi. Mohammed Usman,"72,738",10.8%,Janata Dal (Secular)
627,,,,,,
628,Diamond Harbour,1,Somendra Nath Mitra,"564,612",53.5%,All India Trinamool Congress
629,,2,Samik Lahiri,"412,923",39.2%,Communist Party Of India (MARXIST)
630,,3,Abhijit Das,"37,542",3.6%,Bharatiya Janta Party
631,,,,,,
632,Dibrugarh,1,Paban Singh Ghatowar,"359,163",47.8%,Indian National Congress
633,,2,Sarbananda Sonowal,"324,020",43.2%,Asom Gana Parisad
634,,3,Sima Ghosh,"20,816",2.8%,Independent
635,,,,,,
636,Dindigul,1,Chitthan N S V,"361,545",44.0%,Indian National Congress
637,,2,Baalasubramani P,"307,198",37.4%,All India Anna Dravida Munnetra Kazhagam
638,,3,Muthuvelraj P,"100,788",12.3%,Desiya Murpokku Dravida Kazhagam
639,,,,,,
640,Dindori,1,Chavan Harishchandra Deoram,"281,254",41.3%,Bharatiya Janta Party
641,,2,Zirwal Narhari Sitaram,"243,907",35.8%,Nationalist Congress Party
642,,3,Gavit Jeeva Pandu,"105,352",15.5%,Communist Party Of India (MARXIST)
643,,,,,,
644,Domariyaganj,1,Jagdambika Pal,"229,872",31.2%,Indian National Congress
645,,2,Jai Pratap Singh,"153,306",20.8%,Bharatiya Janta Party
646,,3,Mohd. Muqueem,"151,787",20.6%,Bahujan Samaj Party
647,,,,,,
648,Dum Dum,1,Sougata Ray,"458,988",47.0%,All India Trinamool Congress
649,,2,Amitava Nandy,"438,510",44.9%,Communist Party Of India (MARXIST)
650,,3,Tapan Sikdar,"55,679",5.7%,Bharatiya Janta Party
651,,,,,,
652,Dumka,1,Shibu Soren,"208,518",33.5%,Jharkhand Mukti Morcha
653,,2,Sunil Soren,"189,706",30.5%,Bharatiya Janta Party
654,,3,Ramesh Hembrom,"64,528",10.4%,Jharkhand Vikas Morcha (Prajatantrik)
655,,,,,,
656,Durg,1,Saroj Pandey,"283,170",31.3%,Bharatiya Janta Party
657,,2,Pradeep Choubey,"273,216",30.2%,Indian National Congress
658,,3,Tarachand Sahu Bhilai Nagar,"261,879",28.9%,Independent
659,,,,,,
660,East Delhi,1,Sandeep Dikshit,"518,001",60.4%,Indian National Congress
661,,2,Chetan Chauhan,"276,948",32.3%,Bharatiya Janta Party
662,,3,Mohammad Yunus,"45,447",5.3%,Bahujan Samaj Party
663,,,,,,
664,Eluru,1,Kavuri Sambasiva Rao,"423,777",39.1%,Indian National Congress
665,,2,Maganti Venkateswara Rao(Babu),"380,994",35.1%,Telugu Desam
666,,3,K P Reddaiah Yadav,"225,928",20.8%,Praja Rajyam Party
667,,,,,,
668,Ernakulam,1,Prof. K V Thomas,"342,845",46.0%,Indian National Congress
669,,2,Sindhu Joy,"331,055",44.4%,Communist Party Of India (MARXIST)
670,,3,A.N. Radhakrishnan,"52,968",7.1%,Bharatiya Janta Party
671,,,,,,
672,Erode,1,Ganeshamurthi.A.,"284,148",37.0%,Marumalarchi Dravida Munnetra Kazhagam
673,,2,Elangovan.E.V.K.S.,"234,812",30.6%,Indian National Congress
674,,3,Balasubramaniam.C,"106,604",13.9%,Kongu Nadu Munnetra Kazhagam
675,,,,,,
676,Etah,1,Kalyan Singh R O Madholi,"275,717",48.5%,Independent
677,,2,Kunwar Devendra Singh Yadav,"147,449",26.0%,Bahujan Samaj Party
678,,3,Dr.Shyam Singh Shakya,"88,562",15.6%,Bharatiya Janta Party
679,,,,,,
680,Etawah,1,Premdas,"278,776",43.7%,Samajwadi Party
681,,2,Gaurishanker,"232,030",36.4%,Bahujan Samaj Party
682,,3,Kamlesh Verma,"105,652",16.6%,Bharatiya Janta Party
683,,,,,,
684,Faizabad,1,Nirmal Khatri,"211,543",28.2%,Indian National Congress
685,,2,Mitrasen,"157,315",21.0%,Samajwadi Party
686,,3,Lallu Singh,"151,558",20.2%,Bharatiya Janta Party
687,,,,,,
688,Faridabad,1,Avtar Singh Bhadana,"257,864",41.3%,Indian National Congress
689,,2,Ramchander Bainda,"189,663",30.4%,Bharatiya Janta Party
690,,3,Chetan Sharma,"113,453",18.2%,Bahujan Samaj Party
691,,,,,,
692,Faridkot,1,Paramjit Kaur Gulshan,"457,734",49.2%,Shiromani Akali Dal
693,,2,Sukhwinder Singh Danny,"395,692",42.5%,Indian National Congress
694,,3,Resham Singh,"34,479",3.7%,Bahujan Samaj Party
695,,,,,,
696,Farrukhabad,1,Salman Khursheed,"169,351",27.7%,Indian National Congress
697,,2,Naresh Chandra Agrawal,"142,152",23.3%,Bahujan Samaj Party
698,,3,Chandra Bhushan Singh Urf Munnu Babu,"127,347",20.8%,Samajwadi Party
699,,,,,,
700,Fatehgarh Sahib,1,Sukhdev Singh,"393,557",47.0%,Indian National Congress
701,,2,Charanjit Singh Atwal,"359,258",42.9%,Shiromani Akali Dal
702,,3,Rai Singh,"65,459",7.8%,Bahujan Samaj Party
703,,,,,,
704,Fatehpur,1,Rakesh Sachan,"218,953",31.5%,Samajwadi Party
705,,2,Mahendra Prasad Nishad,"166,725",24.0%,Bahujan Samaj Party
706,,3,Radhey Shyam Gupta,"115,712",16.7%,Bharatiya Janta Party
707,,,,,,
708,Fatehpur Sikri,1,Seema Upadhyay,"209,466",30.1%,Bahujan Samaj Party
709,,2,Raj Babbar,"199,530",28.7%,Indian National Congress
710,,3,Raja Mahendra Aridaman Singh,"154,373",22.2%,Bharatiya Janta Party
711,,,,,,
712,Ferozpur,1,Sher Singh Ghubaya,"450,900",47.1%,Shiromani Akali Dal
713,,2,Jagmeet Singh Brar,"429,829",44.9%,Indian National Congress
714,,3,Gurdev Singh,"29,713",3.1%,Bahujan Samaj Party
715,,,,,,
716,Firozabad,1,Akhilesh Yadav,"287,011",41.9%,Samajwadi Party
717,,2,Prof. S.P. Singh Baghel,"219,710",32.1%,Bahujan Samaj Party
718,,3,Raghuvar Dayal Verma,"101,561",14.8%,Bharatiya Janta Party
719,,,,,,
720,Gadchiroli-Chimur,1,Kowase Marotrao Sainuji,"321,756",38.4%,Indian National Congress
721,,2,Ashok Mahadeorao Nete,"293,176",35.0%,Bharatiya Janta Party
722,,3,Atram Raje Satyawanrao,"135,756",16.2%,Bahujan Samaj Party
723,,,,,,
724,Gandhinagar,1,Lal Krishna Advani,"434,044",54.9%,Bharatiya Janta Party
725,,2,Patel Sureshkumar Chaturdas (Suresh Patel),"312,297",39.5%,Indian National Congress
726,,3,Dr.Mallika Sarabhai,"9,268",1.2%,Independent
727,,,,,,
728,Ganganagar,1,Bharat Ram Meghwal,"476,554",52.3%,Indian National Congress
729,,2,Nihal Chand Meghwal,"335,886",36.9%,Bharatiya Janta Party
730,,3,Sita Ram,"29,072",3.2%,Bahujan Samaj Party
731,,,,,,
732,Garhwal,1,Satpal Maharaj,"236,949",43.9%,Indian National Congress
733,,2,"Lt. Gen(Retd) Tejpal Singh Rawat P.V.S.M, V.S.M","219,552",40.7%,Bharatiya Janta Party
734,,3,Rajeev Agarwal,"34,622",6.4%,Bahujan Samaj Party
735,,,,,,
736,Gauhati,1,Bijoya Chakravarty,"496,047",44.7%,Bharatiya Janta Party
737,,2,Capt. Robin Bordoloi,"484,192",43.7%,Indian National Congress
738,,3,Sonabor Ali,"73,316",6.6%,Assam United Democratic Front
739,,,,,,
740,Gautam Buddh Nagar,1,Surendra Singh Nagar,"245,613",33.2%,Bahujan Samaj Party
741,,2,Mahesh Kumar Sharma,"229,709",31.1%,Bharatiya Janta Party
742,,3,Narendra Singh Bhati,"118,584",16.0%,Samajwadi Party
743,,,,,,
744,Gaya,1,Hari Manjhi,"246,255",43.7%,Bharatiya Janta Party
745,,2,Ramji Manjhi,"183,802",32.6%,Rashtriya Janata Dal
746,,3,Sanjiv Prasad Toni,"64,902",11.5%,Indian National Congress
747,,,,,,
748,Ghatal,1,Gurudas Das Gupta,"625,923",53.5%,Communist Party Of India
749,,2,Nure Alam Chowdhury,"478,739",40.9%,All India Trinamool Congress
750,,3,Matilal Khatua,"35,004",3.0%,Bharatiya Janta Party
751,,,,,,
752,Ghaziabad,1,Rajnath Singh,"359,637",43.3%,Bharatiya Janta Party
753,,2,Surendra Prakash Goel,"268,956",32.4%,Indian National Congress
754,,3,Pt. Amar Pal Sharma,"180,285",21.7%,Bahujan Samaj Party
755,,,,,,
756,Ghazipur,1,Radhey Mohan Singh,"379,233",49.2%,Samajwadi Party
757,,2,Afzal Ansari,"309,924",40.2%,Bahujan Samaj Party
758,,3,Prabhunath,"21,679",2.8%,Bharatiya Janta Party
759,,,,,,
760,Ghosi,1,Dara Singh Chauhan,"220,695",28.8%,Bahujan Samaj Party
761,,2,Arshad Jamal Ansari,"159,750",20.9%,Samajwadi Party
762,,3,Sudha Rai,"150,242",19.6%,Indian National Congress
763,,,,,,
764,Giridih,1,Ravindra Kumar Pandey,"233,435",37.7%,Bharatiya Janta Party
765,,2,Teklal Mahto,"138,697",22.4%,Jharkhand Mukti Morcha
766,,3,Saba Ahmad,"126,722",20.5%,Jharkhand Vikas Morcha (Prajatantrik)
767,,,,,,
768,Godda,1,Nishikant Dubey,"189,526",23.8%,Bharatiya Janta Party
769,,2,Furkan Ansari,"183,119",23.0%,Indian National Congress
770,,3,Pradeep Yadav,"176,926",22.2%,Jharkhand Vikas Morcha (Prajatantrik)
771,,,,,,
772,Gonda,1,Beni Prasad Verma,"155,675",25.7%,Indian National Congress
773,,2,Kirti Vardhan Singh (Raja Bhaiya),"132,000",21.8%,Bahujan Samaj Party
774,,3,Ram Pratap Singh,"90,498",15.0%,Bharatiya Janta Party
775,,,,,,
776,Gopalganj,1,Purnmasi Ram,"200,024",39.6%,Janata Dal (United)
777,,2,Anil Kumar,"157,552",31.2%,Rashtriya Janata Dal
778,,3,Janak Ram,"47,545",9.4%,Bahujan Samaj Party
779,,,,,,
780,Gorakhpur,1,Adityanath,"403,156",53.9%,Bharatiya Janta Party
781,,2,Vinay Shankar Tiwari,"182,885",24.4%,Bahujan Samaj Party
782,,3,Manoj Tiwari Mridul,"83,059",11.1%,Samajwadi Party
783,,,,,,
784,Gulbarga,1,Mallikarjun Kharge,"345,241",45.5%,Indian National Congress
785,,2,Revunaik Belamgi,"331,837",43.7%,Bharatiya Janta Party
786,,3,Babu Honna Naik,"27,130",3.6%,Janata Dal (Secular)
787,,,,,,
788,Guna,1,Jyotiraditya Scindia,"413,297",63.6%,Indian National Congress
789,,2,Dr.Narottam Mishra,"163,560",25.2%,Bharatiya Janta Party
790,,3,Lokpal Lodhi,"29,164",4.5%,Bahujan Samaj Party
791,,,,,,
792,Guntur,1,Rayapati Sambasiva Rao,"403,937",38.5%,Indian National Congress
793,,2,Madala Rajendra,"364,582",34.7%,Telugu Desam
794,,3,Thota Chandra Sekhar,"227,764",21.7%,Praja Rajyam Party
795,,,,,,
796,Gurdaspur,1,Partap Singh Bajwa,"447,994",48.0%,Indian National Congress
797,,2,Vinod Khanna,"439,652",47.1%,Bharatiya Janta Party
798,,3,Swaran Singh Thakur,"15,420",1.7%,Bahujan Samaj Party
799,,,,,,
800,Gurgaon,1,Inderjit Singh,"278,516",36.8%,Indian National Congress
801,,2,Zakir Hussain,"193,652",25.6%,Bahujan Samaj Party
802,,3,Sudha,"125,837",16.6%,Bharatiya Janta Party
803,,,,,,
804,Gwalior,1,Yashodhara Raje Scindia,"252,314",43.2%,Bharatiya Janta Party
805,,2,Ashok Singh,"225,723",38.6%,Indian National Congress
806,,3,Ajab Singh Kushwah,"76,481",13.1%,Bahujan Samaj Party
807,,,,,,
808,Hajipur,1,Ram Sundar Das,"246,715",44.4%,Janata Dal (United)
809,,2,Ram Vilas Paswan,"208,761",37.6%,Lok Jan Shakti Party
810,,3,Dasai Choudhary,"21,585",3.9%,Indian National Congress
811,,,,,,
812,Hamirpur,1,Anurag Singh Thakur,"373,598",53.4%,Bharatiya Janta Party
813,,2,Narinder Thakur,"300,866",43.0%,Indian National Congress
814,,3,Mangat Ram Sharma,"11,774",1.7%,Bahujan Samaj Party
815,,,,,,
816,Hamirpur,1,Vijay Bahadur Singh,"199,143",28.5%,Bahujan Samaj Party
817,,2,Siddha Gopal Sahu,"173,641",24.8%,Indian National Congress
818,,3,Ashok Kumar Singh Chandel,"165,938",23.7%,Samajwadi Party
819,,,,,,
820,Hardoi,1,Usha Verma,"294,030",51.1%,Samajwadi Party
821,,2,Ram Kumar Kuril,"201,095",35.0%,Bahujan Samaj Party
822,,3,Purnima Verma,"54,115",9.4%,Bharatiya Janta Party
823,,,,,,
824,Hardwar,1,Harish Rawat,"332,235",42.2%,Indian National Congress
825,,2,Swami Yatindranand Giri,"204,823",26.0%,Bharatiya Janta Party
826,,3,Shahzad,"181,296",23.0%,Bahujan Samaj Party
827,,,,,,
828,Hassan,1,H D Devegowda,"496,429",50.6%,Janata Dal (Secular)
829,,2,K. H. Hanume Gowda,"205,316",20.9%,Bharatiya Janta Party
830,,3,B. Shivaramu,"201,147",20.5%,Indian National Congress
831,,,,,,
832,Hathras,1,Sarika Singh,"247,927",38.2%,Rashtriya Lok Dal
833,,2,Rajendra Kumar,"211,075",32.5%,Bahujan Samaj Party
834,,3,Anar Singh,"115,187",17.8%,Samajwadi Party
835,,,,,,
836,Hatkanangle,1,Shetti Raju Alias Devappa Anna,"481,025",49.2%,Swabhimani Paksha
837,,2,Mane Nivedita Sambhajirao,"385,965",39.4%,Nationalist Congress Party
838,,3,Raghunath Ramchandra Patil,"55,050",5.6%,Shiv Sena
839,,,,,,
840,Haveri,1,Udasi Shivkumar Chanabasappa,"430,293",49.3%,Bharatiya Janta Party
841,,2,Saleem Ahamed,"342,373",39.3%,Indian National Congress
842,,3,Shivkumargoud Shidlingangouda Patil,"45,659",5.2%,Janata Dal (Secular)
843,,,,,,
844,Hazaribagh,1,Yashwant Sinha,"219,810",31.8%,Bharatiya Janta Party
845,,2,Saurabh Narain Singh,"179,646",26.0%,Indian National Congress
846,,3,Chandra Prakash Chowdhary,"86,880",12.6%,Ajsu Party
847,,,,,,
848,Hindupur,1,Kristappa Nimmala,"435,753",42.3%,Telugu Desam
849,,2,P Khasim Khan,"412,918",40.1%,Indian National Congress
850,,3,Kadapala Sreekantha Reddy,"110,698",10.8%,Praja Rajyam Party
851,,,,,,
852,Hingoli,1,Subhash Bapurao Wankhede,"340,148",41.6%,Shiv Sena
853,,2,Suryakanta Jaiwantrao Patil,"266,514",32.6%,Nationalist Congress Party
854,,3,Dr. B.D. Chavhan,"111,357",13.6%,Bahujan Samaj Party
855,,,,,,
856,Hisar,1,Bhajan Lal S/o Kheraj,"248,476",30.0%,Haryana Janhit Congress (BL)
857,,2,Sampat Singh,"241,493",29.1%,Indian National Lok Dal
858,,3,Jai Parkash,"204,539",24.7%,Indian National Congress
859,,,,,,
860,Hooghly,1,Dr. Ratna De (Nag),"574,022",49.3%,All India Trinamool Congress
861,,2,Rupchand Pal,"492,499",42.3%,Communist Party Of India (MARXIST)
862,,3,Dr. Chuni Lal Chakraborty,"39,784",3.4%,Bharatiya Janta Party
863,,,,,,
864,Hoshangabad,1,Uday Pratap Singh,"339,496",47.7%,Indian National Congress
865,,2,Rampal Singh,"320,251",45.0%,Bharatiya Janta Party
866,,3,Sudama Prasad,"13,325",1.9%,Independent
867,,,,,,
868,Hoshiarpur,1,Santosh Chowdhary,"358,812",42.6%,Indian National Congress
869,,2,Som Parkash,"358,446",42.5%,Bharatiya Janta Party
870,,3,Sukhwinder Kumar,"103,320",12.3%,Bahujan Samaj Party
871,,,,,,
872,Howrah,1,Ambica Banerjee,"477,449",48.0%,All India Trinamool Congress
873,,2,Swadesh Chakrabortty,"440,057",44.3%,Communist Party Of India (MARXIST)
