,Name,No.of votes,Percentage of votes,Party
387,Prakash Babanna Hukkeri,"474,373",44.3%,Indian National Congress
388,Katti Ramesh Vishwanath,"471,370",44.0%,Bharatiya Janta Party
389,Prataparao Patil,"42,738",4.0%,Nationalist Congress Party
390,B.N.Chandrappa,"467,511",42.6%,Indian National Congress
391,Janardhana Swamy,"366,220",33.4%,Bharatiya Janta Party
392,Gullihatty.D.Shekhar,"202,108",18.4%,Janata Dal (Secular)
393,Naramalli Sivaprasad,"594,862",49.6%,Telugu Desam
394,G.Samanyakiran,"550,724",45.9%,Yuvajana Sramika Rythu Congress Party
395,Dr.B.Rajagopal,"16,572",1.4%,Indian National Congress
396,Chandra Prakash Joshi,"703,236",60.0%,Bharatiya Janta Party
397,Girija Vyas,"386,379",32.9%,Indian National Congress
398,Radha Devi,"21,593",1.8%,Communist Party Of India
399,Rahul Kaswan,"595,756",52.7%,Bharatiya Janta Party
400,Abhinesh Maharshi,"301,017",26.6%,Bahujan Samaj Party
401,Pratap Singh,"176,912",15.6%,Indian National Congress
402,"Nagarajan, P.","431,717",36.7%,All India Anna Dravida Munnetra Kazhagam
403,"Radhakrishnan, C.P.","389,701",33.1%,Bharatiya Janta Party
404,"Ganeshkumar, K.","217,083",18.4%,Dravida Munetra Kazhagam
405,Renuka Sinha,"526,499",39.5%,All India Trinamool Congress
406,Dipak Kumar Roy,"439,392",33.0%,All India Forward Bloc
407,Hem Chandra Barman,"217,653",16.3%,Bharatiya Janta Party
408,Arunmozhithevan.A,"481,429",48.9%,All India Anna Dravida Munnetra Kazhagam
409,Nandagopalakrishnan.K.,"278,304",28.3%,Dravida Munetra Kazhagam
410,Jayasankar.C.R,"147,606",15.0%,Desiya Murpokku Dravida Kazhagam
411,Bhartruhari Mahatab,"526,085",53.8%,Biju Janata Dal
412,Aparajita Mohanty,"219,323",22.4%,Indian National Congress
413,Samir Dey,"146,093",14.9%,Bharatiya Janta Party
414,Patel Natubhai Gomanbhai,"80,790",48.9%,Bharatiya Janta Party
415,Delkar Mohanbhai Sanjibhai,"74,576",45.1%,Indian National Congress
416,Khulat Janiyabhai Chandubhai,"1,611",1.0%,Nationalist Congress Party
417,Jasvantsinh Sumanbhai Bhabhor,"511,111",56.8%,Bharatiya Janta Party
418,Taviyad Dr. Prabhaben Kishorsinh,"280,757",31.2%,Indian National Congress
419,Katara Singajibhai Jaljibhai,"28,958",3.2%,Communist Party Of India (MARXIST)
420,Nalin Kumar Kateel,"642,739",53.2%,Bharatiya Janta Party
421,Janardhana Poojary,"499,030",41.3%,Indian National Congress
422,Haneef Khan Kodaje,"27,254",2.3%,Social Democratic Party Of India
423,Patel Lalubhai Babubhai,"46,960",53.8%,Bharatiya Janta Party
424,Ketan Dahyabhai Patel,"37,738",43.3%,Indian National Congress
425,Kessur Goan,729,0.8%,Aam Aadmi Party
426,Prahalad Singh Patel,"513,079",56.3%,Bharatiya Janta Party
427,Choudhary Mahendra Pratap Singh,"299,780",32.9%,Indian National Congress
428,Devendra Chaourasia,"31,519",3.5%,Bahujan Samaj Party
429,Kirti Azad,"314,949",38.0%,Bharatiya Janta Party
430,Md. Ali Ashraf Fatmi,"279,906",33.8%,Rashtriya Janata Dal
431,Sanjay Kumar Jha,"104,494",12.6%,Janata Dal (United)
432,S.S.Ahluwalia,"488,257",42.8%,Bharatiya Janta Party
433,Bhai Chung Bhutia,"291,018",25.5%,All India Trinamool Congress
434,Saman Pathak (SURAJ),"167,186",14.6%,Communist Party Of India (MARXIST)
435,Harish Chandra Meena,"315,059",33.9%,Bharatiya Janta Party
436,Dr. Kirodi Lal,"269,655",29.0%,National People's Party
437,Namonarain Meena,"181,272",19.5%,Indian National Congress
438,G M Siddeshwara,"518,894",46.5%,Bharatiya Janta Party
439,S.S. Mallikarjun,"501,287",45.0%,Indian National Congress
440,Mahima J Patel,"46,911",4.2%,Janata Dal (Secular)
441,Kalraj Mishra,"496,500",51.1%,Bharatiya Janta Party
442,Niyaj Ahmad,"231,114",23.8%,Bahujan Samaj Party
443,Baleshwar Yadav,"150,852",15.5%,Samajwadi Party
444,Manohar Untwal,"665,646",58.2%,Bharatiya Janta Party
445,Sajjan Singh Verma,"405,333",35.4%,Indian National Congress
446,Gokul Prasad Dongare,"17,238",1.5%,Bahujan Samaj Party
447,Pashupati Nath Singh,"543,491",47.5%,Bharatiya Janta Party
448,Ajay Kumar Dubey,"250,537",21.9%,Indian National Congress
449,Anand Mahato,"110,185",9.6%,Marxist Co-Ordination
450,Savitri Thakur,"558,387",51.9%,Bharatiya Janta Party
451,Umang Singhar,"454,059",42.2%,Indian National Congress
452,Ajay Rawat,"14,666",1.4%,Bahujan Samaj Party
453,Anbumani Ramadoss,"468,194",42.5%,Pattali Makkal Katchi
454,Mohan.P.S,"391,048",35.5%,All India Anna Dravida Munnetra Kazhagam
455,Thamaraiselvan.R,"180,297",16.4%,Dravida Munetra Kazhagam
456,Pralhad Joshi,"545,395",52.4%,Bharatiya Janta Party
457,Vinay Kulkarni,"431,738",41.5%,Indian National Congress
458,Bankapur. Hanumanthappa Mallappa,"8,836",0.8%,Janata Dal (Secular)
459,Rekha,"360,357",34.0%,Bharatiya Janta Party
460,Daud Ahmad,"234,682",22.1%,Bahujan Samaj Party
461,Anand Bhadauriya,"234,032",22.1%,Samajwadi Party
462,Tathagata Satpathy,"453,277",43.5%,Biju Janata Dal
463,Rudra Narayan Pany,"315,937",30.3%,Bharatiya Janta Party
464,Sudhir Kumar Samal,"213,794",20.5%,Indian National Congress
465,Badruddin Ajmal,"592,569",43.3%,All India United Democratic Front
466,Wazed Ali Choudhury,"362,839",26.5%,Indian National Congress
467,Dr. Debamoy Sanyal,"298,985",21.8%,Bharatiya Janta Party
468,Dr. Bhamre Subhash Ramrao,"529,450",53.9%,Bharatiya Janta Party
469,Amrishbhai Rasiklal Patel,"398,727",40.6%,Indian National Congress
470,Ishi Yogesh Yashwant,"9,897",1.0%,Bahujan Samaj Party
471,Abhishek Banerjee,"508,481",40.3%,All India Trinamool Congress
472,Dr. Abul Hasnat,"437,183",34.7%,Communist Party Of India (MARXIST)
473,Abhijit Das (BOBBY),"200,858",15.9%,Bharatiya Janta Party
474,Rameswar Teli,"494,364",55.5%,Bharatiya Janta Party
475,Paban Singh Ghatowar,"309,017",34.7%,Indian National Congress
476,Anup Phukon,"45,710",5.1%,Asom Gana Parisad
477,Udhaya Kumar .M,"510,462",47.1%,All India Anna Dravida Munnetra Kazhagam
478,Gandhirajan S,"382,617",35.3%,Dravida Munetra Kazhagam
479,Krishnamoorthy A,"93,794",8.7%,Desiya Murpokku Dravida Kazhagam
480,Chavan Harishchandra Deoram,"542,784",55.9%,Bharatiya Janta Party
481,Dr. Bharati Pravin Pawar,"295,165",30.4%,Nationalist Congress Party
482,Com. Hemant Motiram Waghere,"72,599",7.5%,Communist Party Of India (MARXIST)
483,Jagdambika Pal,"298,845",32.0%,Bharatiya Janta Party
484,Muhammad Muqeem,"195,257",20.9%,Bahujan Samaj Party
485,Mata Prasad Pandey,"174,778",18.7%,Samajwadi Party
486,Saugata Roy,"483,244",42.7%,All India Trinamool Congress
487,Asim Kumar Dasgupta,"328,310",29.0%,Communist Party Of India (MARXIST)
488,Tapan Sikdar,"254,819",22.5%,Bharatiya Janta Party
489,Shibu Soren,"335,815",37.2%,Jharkhand Mukti Morcha
490,Sunil Soren,"296,785",32.9%,Bharatiya Janta Party
491,Babu Lal Marandi,"158,122",17.5%,Jharkhand Vikas Morcha (Prajatantrik)
492,Tamradhwaj Sahu,"570,687",45.4%,Indian National Congress
493,Saroj Pandey,"553,839",44.0%,Bharatiya Janta Party
494,Vishwa Ratna Sinha,"17,454",1.4%,Aam Aadmi Party
495,Maheish Girri,"572,202",47.8%,Bharatiya Janta Party
496,Rajmohan Gandhi,"381,739",31.9%,Aam Aadmi Party
497,Sandeep Dikshit,"203,240",17.0%,Indian National Congress
498,Maganti Venkateswara Rao (BABU),"623,471",51.9%,Telugu Desam
499,Thota Chandra Sekhar,"521,545",43.4%,Yuvajana Sramika Rythu Congress Party
500,Musunuri Nageswara Rao,"11,770",1.0%,Indian National Congress
501,Prof. K.V. Thomas,"353,841",41.6%,Indian National Congress
502,Christy Fernandez,"266,794",31.4%,Independent
503,A.N. Radhakrishnan,"99,003",11.6%,Bharatiya Janta Party
504,Selvakumara Chinnayan S,"466,995",46.3%,All India Anna Dravida Munnetra Kazhagam
505,Ganeshamurthi.A,"255,432",25.3%,Marumalarchi Dravida Munnetra Kazhagam
506,Pavithravalli H,"217,260",21.5%,Dravida Munetra Kazhagam
507,Rajveer Singh (RAJU BHAIYA),"474,978",51.3%,Bharatiya Janta Party
508,Ku. Devendra Singh Yadav,"273,977",29.6%,Samajwadi Party
509,Noor Mohammad Khan,"137,127",14.8%,Bahujan Samaj Party
510,Ashok Kumar Doharey,"439,646",46.8%,Bharatiya Janta Party
511,Premdas Kateriya,"266,700",28.4%,Samajwadi Party
512,Ajay Pal Singh Jatav,"192,804",20.5%,Bahujan Samaj Party
513,Lallu Singh,"491,761",48.1%,Bharatiya Janta Party
514,Mitrasen Yadav,"208,986",20.4%,Samajwadi Party
515,Jitendra Kumar Singh (BABLU BHAIYA),"141,827",13.9%,Bahujan Samaj Party
516,Krishan Pal,"652,516",57.7%,Bharatiya Janta Party
517,Avtar Singh Bhadana,"185,643",16.4%,Indian National Congress
518,R K Anand,"132,472",11.7%,Indian National Lok Dal
519,Prof. Sadhu Singh,"450,751",43.7%,Aam Aadmi Party
520,Paramjit Kaur Gulshan,"278,235",27.0%,Shiromani Akali Dal
521,Joginder Singh,"251,222",24.3%,Indian National Congress
522,Mukesh Rajput,"406,195",41.8%,Bharatiya Janta Party
523,Rameshwar Singh Yadav,"255,693",26.3%,Samajwadi Party
524,Jaiveer Singh,"114,521",11.8%,Bahujan Samaj Party
525,Harinder Singh Khalsa,"367,293",35.6%,Aam Aadmi Party
526,Sadhu Singh,"313,149",30.4%,Indian National Congress
527,Kulwant Singh,"312,815",30.3%,Shiromani Akali Dal
528,Niranjan Jyoti,"485,994",46.0%,Bharatiya Janta Party
529,Afzal Siddiqui,"298,788",28.3%,Bahujan Samaj Party
530,Rakesh Sachan,"179,724",17.0%,Samajwadi Party
531,Babulal,"426,589",44.1%,Bharatiya Janta Party
532,Seema Upadhyay,"253,483",26.2%,Bahujan Samaj Party
533,Rani Pakshalika Singh,"213,397",22.0%,Samajwadi Party
534,Sher Singh Ghubaya,"487,932",44.1%,Shiromani Akali Dal
535,Sunil Jakhar,"456,512",41.3%,Indian National Congress
536,Satnam Paul Kamboj,"113,412",10.3%,Aam Aadmi Party
537,Akshay Yadav,"534,583",48.4%,Samajwadi Party
538,Prof. S.P. Singh Baghel,"420,524",38.1%,Bharatiya Janta Party
539,Th. Vishwadeep Singh,"118,909",10.8%,Bahujan Samaj Party
540,Ashok Mahadeorao Nete,"535,982",52.2%,Bharatiya Janta Party
541,Dr. Namdeo Dalluji Usendi,"299,112",29.1%,Indian National Congress
542,Ramrao Govinda Nannaware,"66,906",6.5%,Bahujan Samaj Party
543,L.K.Advani,"773,539",68.1%,Bharatiya Janta Party
544,Kiritbhai Ishvarbhai Patel,"290,418",25.6%,Indian National Congress
545,Rituraj Mehta,"19,966",1.8%,Aam Aadmi Party
546,Nihalchand,"658,130",52.4%,Bharatiya Janta Party
547,Master Bhanwarlal Meghwal,"366,389",29.2%,Indian National Congress
548,Shimla Devi Nayak (ADVOCATE),"106,585",8.5%,National Unionist Zamindara Party
549,(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM),"405,690",59.5%,Bharatiya Janta Party
550,(DR) HARAK SINGH RAWAT,"221,164",32.4%,Indian National Congress
551,Dheer Singh Bisht,"9,250",1.4%,Bahujan Samaj Party
552,Bijoya Chakravarty,"764,985",50.6%,Bharatiya Janta Party
553,Manash Borah,"449,201",29.7%,Indian National Congress
554,Gopi Nath Das,"137,254",9.1%,All India United Democratic Front
555,Dr.Mahesh Sharma,"599,702",50.0%,Bharatiya Janta Party
556,Narendra Bhati,"319,490",26.6%,Samajwadi Party
557,Satish Kumar,"198,237",16.5%,Bahujan Samaj Party
558,Hari Manjhi,"326,230",40.3%,Bharatiya Janta Party
559,Ramji Manjhi,"210,726",26.0%,Rashtriya Janata Dal
560,Jitan Ram Manjhi,"131,828",16.3%,Janata Dal (United)
561,Adhikari Deepak (DEV),"685,696",50.2%,All India Trinamool Congress
562,Santosh Rana,"424,805",31.1%,Communist Party Of India
563,Manas Ranjan Bhunia,"122,928",9.0%,Indian National Congress
564,Vijay Kumar Singh,"758,482",56.5%,Bharatiya Janta Party
565,Raj Babbar,"191,222",14.2%,Indian National Congress
566,Mukul,"173,085",12.9%,Bahujan Samaj Party
567,Manoj Sinha,"306,929",31.1%,Bharatiya Janta Party
568,Smt Shivkanya Kushwaha,"274,477",27.8%,Samajwadi Party
569,Kailash Nath Singh Yadav,"241,645",24.5%,Bahujan Samaj Party
570,Harinarayan Rajbhar,"379,797",36.5%,Bharatiya Janta Party
571,Dara Singh Chauhan,"233,782",22.5%,Bahujan Samaj Party
572,Mokhtar Ansari,"166,443",16.0%,Quami Ekta Dal
573,Ravindra Kumar Pandey,"391,913",40.4%,Bharatiya Janta Party
574,Jagarnath Mahto,"351,600",36.2%,Jharkhand Mukti Morcha
575,Saba Ahmad,"57,380",5.9%,Jharkhand Vikas Morcha (Prajatantrik)
576,Nishikant Dubey,"380,500",36.3%,Bharatiya Janta Party
577,Furkan Ansari,"319,818",30.5%,Indian National Congress
578,Pradip Yadav,"193,506",18.4%,Jharkhand Vikas Morcha (Prajatantrik)
579,Kirti Vardhan Singh,"359,643",41.2%,Bharatiya Janta Party
580,Nandita Shukla,"199,227",22.8%,Samajwadi Party
581,Akbar Ahmad Dumpy,"116,178",13.3%,Bahujan Samaj Party
582,Janak Ram,"478,773",53.0%,Bharatiya Janta Party
583,Dr. Jyoti Bharti,"191,837",21.2%,Indian National Congress
584,Anil Kumar,"100,419",11.1%,Janata Dal (United)
585,Adityanath,"539,127",51.8%,Bharatiya Janta Party
586,Rajmati Nishad,"226,344",21.8%,Samajwadi Party
587,Ram Bhual Nishad,"176,412",17.0%,Bahujan Samaj Party
588,Mallikarjun Kharge,"507,193",50.8%,Indian National Congress
589,Revunaik Belamagi,"432,460",43.3%,Bharatiya Janta Party
590,D.G. Sagar,"15,690",1.6%,Janata Dal (Secular)
591,Jyotiraditya M Scindia,"517,036",52.9%,Indian National Congress
592,Jaibhansingh Pawaiya,"396,244",40.6%,Bharatiya Janta Party
593,Lakhan Singh Baghel,"27,412",2.8%,Bahujan Samaj Party
594,Jayadev Galla,"618,417",49.7%,Telugu Desam
595,Balashowry Vallabhaneni,"549,306",44.1%,Yuvajana Sramika Rythu Congress Party
596,Abdul Waheed Shaik,"46,818",3.8%,Indian National Congress
597,Vinod Khanna,"482,255",46.3%,Bharatiya Janta Party
598,Partap Singh Bajwa,"346,190",33.2%,Indian National Congress
599,Sucha Singh Chhotepur,"173,376",16.6%,Aam Aadmi Party
600,Inderjit Singh Rao,"644,780",48.8%,Bharatiya Janta Party
601,Zakir Hussain,"370,058",28.0%,Indian National Lok Dal
602,Rao Dharam Pal,"133,713",10.1%,Indian National Congress
603,Narendra Singh Tomar,"442,796",44.7%,Bharatiya Janta Party
604,Ashok Singh,"413,097",41.7%,Indian National Congress
605,Alok Sharma,"68,196",6.9%,Bahujan Samaj Party
606,Ramvilas Paswan,"455,652",50.4%,Lok Jan Shakti Party
607,Sanjeev Prasad Toni,"230,152",25.4%,Indian National Congress
608,Ram Sundar Das,"95,790",10.6%,Janata Dal (United)
609,Anurag Singh Thakur,"448,035",53.6%,Bharatiya Janta Party
610,Rajinder Singh Rana,"349,632",41.9%,Indian National Congress
611,Kamal Kanta Batra,"15,329",1.8%,Aam Aadmi Party
612,Kunwar Pushpendra Singh Chandel,"453,884",46.5%,Bharatiya Janta Party
613,Bishambhar Prasad Nishad,"187,096",19.2%,Samajwadi Party
614,Rakesh Kumar Goswami,"176,356",18.1%,Bahujan Samaj Party
615,Anshul Verma,"360,501",37.1%,Bharatiya Janta Party
616,Shive Prasad Verma,"279,158",28.7%,Bahujan Samaj Party
617,Usha Verma,"276,543",28.4%,Samajwadi Party
618,Ramesh Pokhriyal Nishank,"592,320",50.4%,Bharatiya Janta Party
619,Renuka Rawat,"414,498",35.3%,Indian National Congress
620,Haji Mohd Islam,"113,663",9.7%,Bahujan Samaj Party
621,H.D. Devegowda,"509,841",44.4%,Janata Dal (Secular)
622,Manju. A.,"409,379",35.7%,Indian National Congress
623,C.H. Vijayashankar,"165,688",14.4%,Bharatiya Janta Party
624,Rajesh Kumar Diwaker,"544,277",51.9%,Bharatiya Janta Party
625,Manoj Kumar Soni,"217,891",20.8%,Bahujan Samaj Party
626,Ramji Lal Suman,"180,891",17.2%,Samajwadi Party
627,Raju Shetty,"640,428",53.9%,Swabhimani Paksha
628,Awade Kallappa Baburao,"462,618",38.9%,Indian National Congress
629,Sureshdada Patil,"25,648",2.2%,Independent
630,Udasi Shivakumar Channabasappa,"566,790",50.8%,Bharatiya Janta Party
631,Saleem Ahmed,"479,219",42.9%,Indian National Congress
632,Shiddappa Kallappa Poojar,"15,656",1.4%,Independent
633,Jayant Sinha,"406,931",42.1%,Bharatiya Janta Party
634,Saurabh Narain Singh,"247,803",25.6%,Indian National Congress
635,Loknath Mahto,"156,186",16.1%,Ajsu Party
636,Kristappa Nimmala,"604,291",51.3%,Telugu Desam
637,Duddukunta Sreedhar Reddy,"506,966",43.1%,Yuvajana Sramika Rythu Congress Party
638,G.C Venkataramudu,"36,452",3.1%,Indian National Congress
639,Rajeev Shankarrao Satav,"467,397",44.5%,Indian National Congress
640,Wankhede Subhash Bapurao,"465,765",44.3%,Shiv Sena
641,Jadhav Chunnilal Mohan,"25,145",2.4%,Bahujan Samaj Party
642,Dushyant Chautala,"494,478",42.8%,Indian National Lok Dal
643,Kuldeep Bishnoi,"462,631",40.0%,Haryana Janhit Congress (BL)
644,Sampat Singh,"102,509",8.9%,Indian National Congress
645,Dr. Ratna De (NAG),"614,312",45.5%,All India Trinamool Congress
646,Pradip Saha,"425,228",31.5%,Communist Party Of India (MARXIST)
647,Dr. Chandan Mitra,"221,271",16.4%,Bharatiya Janta Party
648,Uday Pratap Singh,"669,128",64.9%,Bharatiya Janta Party
649,Devendra Patel Guddu Bhaiya,"279,168",27.1%,Indian National Congress
650,Maya Vishwakarma,"17,837",1.7%,Aam Aadmi Party
651,Vijay Sampla,"346,643",36.1%,Bharatiya Janta Party
652,Mohinder Singh Kaypee,"333,061",34.6%,Indian National Congress
653,Yamini Gomar,"213,388",22.2%,Aam Aadmi Party
654,Prasun Banerjee,"488,461",43.4%,All India Trinamool Congress
655,Sridip Bhattacharya,"291,505",25.9%,Communist Party Of India (MARXIST)
656,George Baker,"248,120",22.0%,Bharatiya Janta Party
657,Asaduddin Owaisi,"513,868",52.9%,All India Majlis-E-Ittehadul Muslimoon
658,Dr.Bhagavanth Rao,"311,414",32.1%,Bharatiya Janta Party
659,S Krishna Reddy,"49,310",5.1%,Indian National Congress
660,Adv.Joice George,"382,019",46.6%,Independent
661,Adv.Dean Kuriakose,"331,477",40.4%,Indian National Congress
662,Adv.Sabu Varghese,"50,438",6.2%,Bharatiya Janta Party
663,Sumitra Mahajan (TAI),"854,972",64.9%,Bharatiya Janta Party
664,Satyanarayan Patel,"388,071",29.5%,Indian National Congress
665,Anil Trivedi,"35,169",2.7%,Aam Aadmi Party
666,Dr. Thokchom Meinya,"292,102",45.6%,Indian National Congress
667,Moirangthem Nara,"197,428",30.8%,Communist Party Of India
668,R.K. Ranjan Singh,"92,443",14.4%,Bharatiya Janta Party
669,Rakesh Singh,"564,609",56.3%,Bharatiya Janta Party
670,Vivek Krishna Tankha,"355,970",35.5%,Indian National Congress
671,Aftab Alam,"16,008",1.6%,Bahujan Samaj Party
672,Sugata Bose,"584,244",45.9%,All India Trinamool Congress
673,Sujan Chakraborty,"459,041",36.1%,Communist Party Of India (MARXIST)
674,Dr. Sarup Prasad Ghosh,"155,511",12.2%,Bharatiya Janta Party
675,Kulamani Samal,"624,492",55.2%,Biju Janata Dal
676,Bibhu Prasad Tarai,"348,098",30.8%,Indian National Congress
677,Baidhar Mallick,"117,448",10.4%,Bharatiya Janta Party
678,Dr. Arun Kumar,"322,647",39.8%,Rashtriya Lok Samta Party
679,Surendra Prasad Yadav,"280,307",34.5%,Rashtriya Janata Dal
680,Anil Kumar Sharma,"100,851",12.4%,Janata Dal (United)
681,Ramcharan Bohara,"863,358",66.6%,Bharatiya Janta Party
682,Dr. Mahesh Joshi,"324,013",25.0%,Indian National Congress
683,Dr. Virendra Singh,"55,118",4.3%,Aam Aadmi Party
684,Rajyavardhan Singh Rathore,"632,930",62.4%,Bharatiya Janta Party
685,Dr. C.P. Joshi,"300,034",29.6%,Indian National Congress
686,Navin Pilania,"31,617",3.1%,National People's Party
687,Rita Tarai,"541,349",55.2%,Biju Janata Dal
688,Asok Das,"221,078",22.5%,Indian National Congress
689,Amiya Kanta Mallick,"150,789",15.4%,Bharatiya Janta Party
690,Santokh Singh Chaudhary,"380,479",36.6%,Indian National Congress
691,Pawan Kumar Tinu,"309,498",29.7%,Shiromani Akali Dal
692,Jyoti Mann,"254,121",24.4%,Aam Aadmi Party
693,Bhanu Pratap Singh Verma,"548,631",49.5%,Bharatiya Janta Party
694,Brijlal Khabri,"261,429",23.6%,Bahujan Samaj Party
695,Ghanshayam Anuragi,"180,921",16.3%,Samajwadi Party
696,A.T. Nana Patil,"647,773",65.4%,Bharatiya Janta Party
697,Annasaheb Dr.Satish Bhaskarrao Patil,"264,248",26.7%,Nationalist Congress Party
698,Bagul V. T.(JIBHAU),"10,838",1.1%,Bahujan Samaj Party
699,Danve Raosaheb Dadarao,"591,428",55.5%,Bharatiya Janta Party
700,Autade Vilas Keshavrao,"384,630",36.1%,Indian National Congress
701,Dr. Wankhede Sharadchandra Ganapatrao,"23,719",2.2%,Bahujan Samaj Party
702,Devji Patel,"580,508",53.4%,Bharatiya Janta Party
703,Anjana Udai Lal,"199,363",18.3%,Indian National Congress
704,S. Buta Singh,"175,344",16.1%,Independent
705,Bijoy Chandra Barman,"494,773",38.0%,All India Trinamool Congress
706,Mahendra Kumar Roy,"425,167",32.7%,Communist Party Of India (MARXIST)
707,Satyalal Sarkar,"221,593",17.0%,Bharatiya Janta Party
708,Jugal Kishore,"619,995",49.5%,Bharatiya Janta Party
709,Madan Lal Sharma,"362,715",28.9%,Indian National Congress
710,Yashpal Sharma,"168,554",13.4%,Jammu &amp; Kashmir Peoples Democratic Party
711,Poonamben Hematbhai Maadam,"484,412",56.8%,Bharatiya Janta Party
712,Ahir Vikrambhai Arjanbhai Madam,"309,123",36.3%,Indian National Congress
713,Mamad Haji Bolim,"8,596",1.0%,Independent
714,Bidyut Baran Mahato,"464,153",44.2%,Bharatiya Janta Party
715,Ajay Kumar,"364,277",34.7%,Jharkhand Vikas Morcha (Prajatantrik)
716,Niroop Mahanty,"138,109",13.2%,Jharkhand Mukti Morcha
717,Chirag Kumar Paswan,"285,354",36.8%,Lok Jan Shakti Party
718,Sudhansu Shekhar Bhaskar,"199,407",25.7%,Rashtriya Janata Dal
719,Uday Narain Choudhary,"198,599",25.6%,Janata Dal (United)
720,Abhijit Mukherjee,"378,201",33.8%,Indian National Congress
721,Muzaffar Hossain,"370,040",33.1%,Communist Party Of India (MARXIST)
722,Sk Nurul Islam,"207,455",18.5%,All India Trinamool Congress
723,Kamla Patle,"518,909",48.3%,Bharatiya Janta Party
724,Prem Chand Jayasi,"343,948",32.0%,Indian National Congress
725,Duj Ram Bouddh,"125,617",11.7%,Bahujan Samaj Party
726,Krishna Pratap 'k.P.',"367,149",36.5%,Bharatiya Janta Party
727,Subhash Pandey,"220,839",21.9%,Bahujan Samaj Party
728,Parasnath Yadav,"180,003",17.9%,Samajwadi Party
729,Dushyant Singh,"676,102",59.0%,Bharatiya Janta Party
730,Pramod Bhaya,"394,556",34.4%,Indian National Congress
731,Chandra Singh,"23,587",2.1%,Bahujan Samaj Party
732,Birendra Kumar Chaudhary,"335,481",35.6%,Bharatiya Janta Party
733,Mangani Lal Mandal,"280,073",29.8%,Rashtriya Janata Dal
734,Devendra Prasad Yadav,"183,591",19.5%,Janata Dal (United)
735,Uma Bharati,"575,889",43.6%,Bharatiya Janta Party
736,Dr. Chandrapal Singh Yadav,"385,422",29.2%,Samajwadi Party
737,Anuradha Sharma,"213,792",16.2%,Bahujan Samaj Party
738,Uma Saren,"674,504",53.6%,All India Trinamool Congress
739,Dr. Pulin Bihari Baske,"326,621",26.0%,Communist Party Of India (MARXIST)
740,Bikash Mudi,"122,459",9.7%,Bharatiya Janta Party
741,Santosh Ahlawat,"488,182",48.5%,Bharatiya Janta Party
742,Raj Bala Ola,"254,347",25.3%,Indian National Congress
743,Dr. Rajkumar Sharma,"206,288",20.5%,Independent
744,Gajendrasingh Shekhawat,"713,515",66.2%,Bharatiya Janta Party
745,Chandresh Kumari,"303,464",28.1%,Indian National Congress
746,Goparam Meghwal,"13,511",1.3%,Bahujan Samaj Party
747,Kamakhya Prasad Tasa,"456,420",49.0%,Bharatiya Janta Party
748,Bijoy Krishna Handique,"354,000",38.0%,Indian National Congress
749,Prodip Hazarika,"46,626",5.0%,Asom Gana Parisad
750,Pratima Mondal,"494,746",41.7%,All India Trinamool Congress
751,Subhas Naskar,"386,362",32.6%,Revolutionary Socialist Party
752,Dr. Tarun Mandal,"117,454",9.9%,Socialist Unity Centre Of India (COMMUNIST)
753,Chudasama Rajeshbhai Naranbhai,"513,179",54.5%,Bharatiya Janta Party
754,Punjabhai Bhimabhai Vansh,"377,347",40.1%,Indian National Congress
755,Atul Govindbhai Shekhada,"16,674",1.8%,Aam Aadmi Party
756,Chavda Vinod Lakhamashi,"562,855",59.5%,Bharatiya Janta Party
757,Dr.Dinesh Parmar,"308,373",32.6%,Indian National Congress
758,Kamalbhai Matang,"21,230",2.2%,Bahujan Samaj Party
759,Y.S. Avinash Reddy,"671,983",56.0%,Yuvajana Sramika Rythu Congress Party
760,Srinivasa Reddy Reddeppagari,"481,660",40.1%,Telugu Desam
761,Ajaya Kumar Veena,"14,319",1.2%,Indian National Congress
762,Hukum Singh,"565,909",50.6%,Bharatiya Janta Party
763,Nahid Hasan,"329,081",29.4%,Samajwadi Party
764,Kanwar Hasan,"160,414",14.3%,Bahujan Samaj Party
765,Brij Bhusan Sharan Singh,"381,500",40.4%,Bharatiya Janta Party
766,Vinod Kumar Alias Pandit Singh,"303,282",32.1%,Samajwadi Party
767,Krishna Kumar Ojha,"146,726",15.6%,Bahujan Samaj Party
768,Thota Narasimham,"514,402",46.8%,Telugu Desam
769,Chalamalasetty Sunil,"510,971",46.5%,Yuvajana Sramika Rythu Congress Party
770,Mallipudi Mangapati Pallam Raju,"19,754",1.8%,Indian National Congress
771,Arka Keshari Deo,"370,871",33.2%,Biju Janata Dal
772,Pradipta Kumar Naik,"314,524",28.1%,Bharatiya Janta Party
773,Bhakta Charan Das,"307,967",27.6%,Indian National Congress
774,Gourav Gogoi,"443,315",38.0%,Indian National Congress
775,Mrinal Kumar Saikia,"349,441",30.0%,Bharatiya Janta Party
776,Bijoy Kumar Tiru,"231,295",19.8%,All India United Democratic Front
777,Kamaraj. K,"533,383",48.2%,All India Anna Dravida Munnetra Kazhagam
778,Manimaran. R,"309,876",28.0%,Dravida Munetra Kazhagam
779,Eswaran. V. P,"164,183",14.8%,Desiya Murpokku Dravida Kazhagam
780,Dr.Shrikant Eknath Shinde,"440,892",53.5%,Shiv Sena
